STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-01,44,57,31,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-02,47,59,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-03,50,61,36,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-04,45,62,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-05,49,64,31,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-06,53,63,45,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-07,47,61,32,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-08,45,55,32,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-09,38,44,32,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-10,39,55,29,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-11,39,52,28,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-12,41,56,28,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-13,40,57,28,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-14,40,57,28,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-15,43,62,29,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-16,42,59,29,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-17,44,53,38,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-18,47,58,37,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-19,54,64,48,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-20,51,59,43,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-21,43,47,40,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-22,47,56,39,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-23,53,65,38,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-24,48,65,36,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-25,50,63,37,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-26,47,60,36,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-27,48,64,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-28,49,64,35,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-29,47,56,31,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-30,50,63,31,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-01-31,56,67,46,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-01,58,71,39,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-02,51,67,40,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-03,40,46,32,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-04,35,40,29,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-05,38,50,20,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-06,44,62,31,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-07,50,69,35,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-08,50,65,34,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-09,41,48,31,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-10,44,51,39,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-11,44,56,29,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-12,40,57,26,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-13,44,58,30,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-14,44,60,30,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-15,44,62,28,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-16,48,65,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-17,52,68,35,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-18,52,64,37,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-19,49,66,35,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-20,54,64,43,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-21,56,67,43,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-22,43,49,39,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-23,44,55,36,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-24,50,69,34,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-25,54,64,40,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-26,52,61,44,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-27,58,69,50,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-28,58,69,44,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-02-29,48,61,34,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-01,41,50,36,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-02,44,51,31,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-03,54,66,40,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-04,52,69,37,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-05,54,68,39,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-06,53,71,38,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-07,44,54,36,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-08,44,53,34,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-09,47,59,31,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-10,47,50,45,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-11,51,63,41,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-12,46,54,41,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-13,43,47,40,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-14,44,51,37,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-15,44,52,35,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-16,43,53,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-17,40,46,34,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-18,36,40,30,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-19,39,47,34,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-20,43,52,35,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-21,45,56,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-22,47,60,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-23,45,51,39,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-24,45,54,38,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-25,42,50,38,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-26,38,45,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-27,39,49,32,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-28,43,57,28,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-29,43,54,31,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-30,50,68,32,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-03-31,53,67,39,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-01,56,67,44,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-02,50,61,41,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-03,50,61,40,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-04,48,60,36,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-05,46,58,41,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-06,45,51,42,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-07,45,52,41,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-08,39,44,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-09,40,44,33,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-10,41,44,38,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-11,47,56,39,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-12,45,49,43,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-13,46,51,42,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-14,53,68,37,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-15,54,71,36,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-16,53,68,38,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-17,48,58,37,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-18,45,51,42,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-19,51,63,42,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-20,51,61,44,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-21,52,64,43,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-22,61,77,42,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-23,65,82,46,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-24,69,87,50,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-25,69,88,50,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-26,66,82,46,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-27,64,80,46,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-28,69,88,47,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-29,69,88,51,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-04-30,65,83,49,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-01,64,78,49,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-02,60,75,42,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-03,61,74,45,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-04,65,85,41,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-05,68,87,46,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-06,70,91,47,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-07,70,92,46,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-08,68,89,48,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-09,69,88,48,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-10,67,85,44,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-11,58,74,36,
USR0000CANZ,"ANZA CALIFORNIA, CA US",2020-05-12,54,64,45,
