STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-01,49,62,38,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-02,51,63,38,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-03,53,65,43,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-04,52,67,41,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-05,55,69,41,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-06,58,66,46,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-07,55,64,43,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-08,48,57,38,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-09,44,50,37,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-10,45,60,34,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-11,46,57,36,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-12,45,57,33,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-13,46,57,39,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-14,45,57,35,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-15,47,64,36,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-16,47,60,38,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-17,47,56,40,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-18,53,61,46,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-19,60,68,48,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-20,56,63,50,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-21,47,52,44,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-22,50,63,45,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-23,57,69,45,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-24,56,71,45,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-25,56,70,44,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-26,52,64,43,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-27,54,71,38,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-28,58,71,45,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-29,51,64,38,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-30,54,70,39,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-01-31,61,71,49,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-01,64,75,51,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-02,57,70,46,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-03,44,52,37,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-04,39,48,30,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-05,42,56,27,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-06,47,63,34,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-07,52,68,36,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-08,54,70,40,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-09,45,55,38,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-10,51,60,43,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-11,50,62,37,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-12,47,62,35,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-13,49,63,37,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-14,52,67,40,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-15,51,67,37,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-16,54,68,42,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-17,56,72,41,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-18,58,71,44,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-19,55,70,41,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-20,60,70,51,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-21,62,72,50,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-22,47,53,44,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-23,47,55,40,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-24,55,74,39,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-25,60,69,50,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-26,58,66,48,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-27,62,72,46,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-28,63,76,49,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-02-29,54,66,45,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-01,45,50,39,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-02,48,58,36,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-03,57,73,44,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-04,57,74,43,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-05,60,74,45,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-06,60,74,46,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-07,49,60,42,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-08,50,61,42,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-09,53,64,37,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-10,51,55,49,
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",2020-03-11,56,68,44,
