STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00023158,"BLYTHE ASOS, CA US",2020-01-01,,61,38,
USW00023158,"BLYTHE ASOS, CA US",2020-01-02,,69,40,
USW00023158,"BLYTHE ASOS, CA US",2020-01-03,,68,41,
USW00023158,"BLYTHE ASOS, CA US",2020-01-04,,68,37,
USW00023158,"BLYTHE ASOS, CA US",2020-01-05,,70,40,
USW00023158,"BLYTHE ASOS, CA US",2020-01-06,,72,47,
USW00023158,"BLYTHE ASOS, CA US",2020-01-07,,69,41,
USW00023158,"BLYTHE ASOS, CA US",2020-01-08,,66,37,
USW00023158,"BLYTHE ASOS, CA US",2020-01-09,,63,39,
USW00023158,"BLYTHE ASOS, CA US",2020-01-10,,65,41,
USW00023158,"BLYTHE ASOS, CA US",2020-01-11,,66,34,
USW00023158,"BLYTHE ASOS, CA US",2020-01-12,,64,35,
USW00023158,"BLYTHE ASOS, CA US",2020-01-13,,65,36,
USW00023158,"BLYTHE ASOS, CA US",2020-01-14,,66,35,
USW00023158,"BLYTHE ASOS, CA US",2020-01-15,,68,36,
USW00023158,"BLYTHE ASOS, CA US",2020-01-16,,66,37,
USW00023158,"BLYTHE ASOS, CA US",2020-01-17,,65,43,
USW00023158,"BLYTHE ASOS, CA US",2020-01-18,,68,38,
USW00023158,"BLYTHE ASOS, CA US",2020-01-19,,73,40,
USW00023158,"BLYTHE ASOS, CA US",2020-01-20,,65,51,
USW00023158,"BLYTHE ASOS, CA US",2020-01-21,,65,48,
USW00023158,"BLYTHE ASOS, CA US",2020-01-22,,68,42,
USW00023158,"BLYTHE ASOS, CA US",2020-01-23,,74,46,
USW00023158,"BLYTHE ASOS, CA US",2020-01-24,,75,49,
USW00023158,"BLYTHE ASOS, CA US",2020-01-25,,76,43,
USW00023158,"BLYTHE ASOS, CA US",2020-01-26,,74,43,
USW00023158,"BLYTHE ASOS, CA US",2020-01-27,,76,50,
USW00023158,"BLYTHE ASOS, CA US",2020-01-28,,73,48,
USW00023158,"BLYTHE ASOS, CA US",2020-01-29,,73,46,
USW00023158,"BLYTHE ASOS, CA US",2020-01-30,,73,54,
USW00023158,"BLYTHE ASOS, CA US",2020-01-31,,75,48,
USW00023158,"BLYTHE ASOS, CA US",2020-02-01,,79,44,
USW00023158,"BLYTHE ASOS, CA US",2020-02-02,,80,42,
USW00023158,"BLYTHE ASOS, CA US",2020-02-03,,63,41,
USW00023158,"BLYTHE ASOS, CA US",2020-02-04,,56,40,
USW00023158,"BLYTHE ASOS, CA US",2020-02-05,,60,39,
USW00023158,"BLYTHE ASOS, CA US",2020-02-06,,68,34,
USW00023158,"BLYTHE ASOS, CA US",2020-02-07,,73,37,
USW00023158,"BLYTHE ASOS, CA US",2020-02-08,,77,38,
USW00023158,"BLYTHE ASOS, CA US",2020-02-09,,72,47,
USW00023158,"BLYTHE ASOS, CA US",2020-02-10,,67,52,
USW00023158,"BLYTHE ASOS, CA US",2020-02-11,,66,45,
USW00023158,"BLYTHE ASOS, CA US",2020-02-12,,69,34,
USW00023158,"BLYTHE ASOS, CA US",2020-02-13,,69,37,
USW00023158,"BLYTHE ASOS, CA US",2020-02-14,,72,41,
USW00023158,"BLYTHE ASOS, CA US",2020-02-15,,73,42,
USW00023158,"BLYTHE ASOS, CA US",2020-02-16,,77,43,
USW00023158,"BLYTHE ASOS, CA US",2020-02-17,,79,46,
USW00023158,"BLYTHE ASOS, CA US",2020-02-18,,76,45,
USW00023158,"BLYTHE ASOS, CA US",2020-02-19,,79,46,
USW00023158,"BLYTHE ASOS, CA US",2020-02-20,,78,49,
USW00023158,"BLYTHE ASOS, CA US",2020-02-21,,81,48,
USW00023158,"BLYTHE ASOS, CA US",2020-02-22,,75,52,
USW00023158,"BLYTHE ASOS, CA US",2020-02-23,,75,46,
USW00023158,"BLYTHE ASOS, CA US",2020-02-24,,80,46,
USW00023158,"BLYTHE ASOS, CA US",2020-02-25,,75,50,
USW00023158,"BLYTHE ASOS, CA US",2020-02-26,,72,42,
USW00023158,"BLYTHE ASOS, CA US",2020-02-27,,78,41,
USW00023158,"BLYTHE ASOS, CA US",2020-02-28,,78,51,
USW00023158,"BLYTHE ASOS, CA US",2020-02-29,,83,43,
USW00023158,"BLYTHE ASOS, CA US",2020-03-01,,76,49,
USW00023158,"BLYTHE ASOS, CA US",2020-03-02,,66,49,
USW00023158,"BLYTHE ASOS, CA US",2020-03-03,,80,48,
USW00023158,"BLYTHE ASOS, CA US",2020-03-04,,77,47,
USW00023158,"BLYTHE ASOS, CA US",2020-03-05,,83,48,
USW00023158,"BLYTHE ASOS, CA US",2020-03-06,,86,54,
USW00023158,"BLYTHE ASOS, CA US",2020-03-07,,81,59,
USW00023158,"BLYTHE ASOS, CA US",2020-03-08,,75,54,
USW00023158,"BLYTHE ASOS, CA US",2020-03-09,,77,53,
USW00023158,"BLYTHE ASOS, CA US",2020-03-10,,68,59,
USW00023158,"BLYTHE ASOS, CA US",2020-03-11,,71,60,
USW00023158,"BLYTHE ASOS, CA US",2020-03-12,,69,55,
USW00023158,"BLYTHE ASOS, CA US",2020-03-13,,69,52,
USW00023158,"BLYTHE ASOS, CA US",2020-03-14,,73,53,
USW00023158,"BLYTHE ASOS, CA US",2020-03-15,,74,51,
USW00023158,"BLYTHE ASOS, CA US",2020-03-16,,75,50,
USW00023158,"BLYTHE ASOS, CA US",2020-03-17,,69,51,
USW00023158,"BLYTHE ASOS, CA US",2020-03-18,,62,52,
USW00023158,"BLYTHE ASOS, CA US",2020-03-19,,66,47,
USW00023158,"BLYTHE ASOS, CA US",2020-03-20,,69,45,
USW00023158,"BLYTHE ASOS, CA US",2020-03-21,,72,49,
USW00023158,"BLYTHE ASOS, CA US",2020-03-22,,75,51,
USW00023158,"BLYTHE ASOS, CA US",2020-03-23,,76,56,
USW00023158,"BLYTHE ASOS, CA US",2020-03-24,,77,50,
USW00023158,"BLYTHE ASOS, CA US",2020-03-25,,75,56,
USW00023158,"BLYTHE ASOS, CA US",2020-03-26,,69,51,
USW00023158,"BLYTHE ASOS, CA US",2020-03-27,,70,44,
USW00023158,"BLYTHE ASOS, CA US",2020-03-28,,72,44,
USW00023158,"BLYTHE ASOS, CA US",2020-03-29,,76,49,
USW00023158,"BLYTHE ASOS, CA US",2020-03-30,,80,54,
USW00023158,"BLYTHE ASOS, CA US",2020-03-31,,80,53,
USW00023158,"BLYTHE ASOS, CA US",2020-04-01,,88,56,
USW00023158,"BLYTHE ASOS, CA US",2020-04-02,,83,58,
USW00023158,"BLYTHE ASOS, CA US",2020-04-03,,82,56,
USW00023158,"BLYTHE ASOS, CA US",2020-04-04,,84,53,
USW00023158,"BLYTHE ASOS, CA US",2020-04-05,,81,58,
USW00023158,"BLYTHE ASOS, CA US",2020-04-06,,78,55,
USW00023158,"BLYTHE ASOS, CA US",2020-04-07,,79,57,
USW00023158,"BLYTHE ASOS, CA US",2020-04-08,,65,51,
USW00023158,"BLYTHE ASOS, CA US",2020-04-09,,70,44,
USW00023158,"BLYTHE ASOS, CA US",2020-04-10,,66,54,
USW00023158,"BLYTHE ASOS, CA US",2020-04-11,,73,53,
USW00023158,"BLYTHE ASOS, CA US",2020-04-12,,78,56,
USW00023158,"BLYTHE ASOS, CA US",2020-04-13,,83,54,
USW00023158,"BLYTHE ASOS, CA US",2020-04-14,,81,57,
USW00023158,"BLYTHE ASOS, CA US",2020-04-15,,84,51,
USW00023158,"BLYTHE ASOS, CA US",2020-04-16,,88,53,
USW00023158,"BLYTHE ASOS, CA US",2020-04-17,,83,56,
