STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-01,,62,36,38
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-02,,61,38,51
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-03,,64,41,41
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-04,,66,38,38
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-05,,67,38,38
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-06,,67,38,52
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-07,,67,36,39
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-08,,67,37,40
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-09,,66,37,37
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-10,,60,37,49
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-11,,60,34,36
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-12,,61,35,38
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-13,,63,34,34
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-14,,62,34,35
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-15,,65,35,35
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-16,,64,35,38
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-17,,64,38,44
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-18,,59,35,35
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-19,,65,35,42
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-20,,69,42,53
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-21,,65,48,48
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-22,,63,39,40
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-23,,67,40,45
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-24,,72,44,44
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-25,,74,43,44
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-26,,75,42,43
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-27,,71,43,61
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-28,,72,46,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-29,,75,46,53
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-30,,65,50,52
USC00041738,"CHIRIACO SUMMIT, CA US",2020-01-31,,70,47,47
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-01,,76,46,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-02,,76,44,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-03,,77,46,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-04,,51,38,38
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-05,,49,32,41
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-06,,60,37,40
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-07,,65,38,40
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-08,,75,38,41
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-09,,70,40,41
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-10,,64,41,48
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-11,,61,48,49
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-12,,60,34,35
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-13,,69,35,35
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-14,,68,35,41
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-15,,70,38,42
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-16,,73,42,43
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-17,,72,43,50
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-18,,75,45,55
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-19,,73,44,45
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-20,,76,45,54
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-21,,74,44,48
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-22,,77,48,52
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-23,,65,50,51
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-24,,72,43,45
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-25,,77,45,61
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-26,,72,37,42
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-27,,67,41,45
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-28,,77,45,51
USC00041738,"CHIRIACO SUMMIT, CA US",2020-02-29,,78,43,48
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-01,,77,44,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-02,,67,46,49
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-03,,60,49,58
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-04,,72,48,52
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-05,,76,44,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-06,,80,46,50
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-07,,82,49,50
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-08,,74,46,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-09,,70,43,43
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-10,,71,43,51
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-11,,59,51,53
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-12,,70,53,59
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-13,,62,43,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-14,,62,44,44
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-15,,66,44,44
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-16,,68,43,43
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-17,,65,43,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-18,,63,44,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-19,,53,38,38
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-20,,57,38,38
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-21,,63,38,41
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-22,,69,41,44
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-23,,71,44,54
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-24,,69,42,42
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-25,,71,42,48
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-26,,64,42,42
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-27,,63,40,40
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-28,,65,40,42
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-29,,66,41,41
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-30,,71,41,53
USC00041738,"CHIRIACO SUMMIT, CA US",2020-03-31,,77,50,51
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-01,,76,51,56
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-02,,80,51,51
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-03,,78,47,49
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-04,,77,49,49
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-05,,76,46,51
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-06,,72,47,50
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-07,,72,50,55
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-08,,71,42,46
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-09,,61,40,42
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-10,,63,42,48
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-11,,58,47,52
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-12,,71,48,49
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-13,,71,48,49
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-14,,78,49,54
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-15,,76,42,50
USC00041738,"CHIRIACO SUMMIT, CA US",2020-04-16,,83,48,50
