STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-01,52,67,40,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-02,53,72,37,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-03,56,73,44,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-04,55,70,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-05,56,71,42,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-06,60,74,48,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-07,59,77,49,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-08,51,63,40,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-09,47,56,41,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-10,49,67,37,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-11,49,64,38,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-12,49,61,39,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-13,50,61,42,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-14,49,62,37,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-15,50,70,37,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-16,48,59,39,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-17,50,61,43,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-18,57,73,44,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-19,63,79,51,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-20,55,61,50,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-21,51,58,48,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-22,52,66,43,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-23,59,77,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-24,59,75,47,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-25,59,77,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-26,51,61,46,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-27,56,74,44,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-28,57,74,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-29,58,69,42,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-30,59,75,42,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-01-31,64,80,51,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-01,66,84,50,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-02,59,76,49,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-03,49,57,44,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-04,46,55,38,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-05,45,60,30,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-06,50,66,38,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-07,54,69,39,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-08,55,71,41,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-09,47,54,41,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-10,56,66,44,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-11,58,67,43,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-12,51,65,39,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-13,54,73,37,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-14,55,71,42,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-15,55,72,40,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-16,56,71,44,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-17,58,77,43,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-18,59,75,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-19,56,70,48,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-20,62,78,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-21,63,80,51,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-22,51,57,48,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-23,54,62,48,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-24,57,73,41,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-25,64,80,48,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-26,64,78,55,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-27,66,81,52,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-28,68,83,56,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-02-29,58,72,46,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-01,49,56,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-02,55,65,41,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-03,64,78,55,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-04,60,76,47,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-05,64,84,46,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-06,62,77,52,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-07,54,64,49,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-08,53,66,46,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-09,57,76,43,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-10,56,64,52,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-11,59,70,51,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-12,51,58,48,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-13,51,53,48,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-14,53,58,50,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-15,52,57,47,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-16,51,57,46,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-17,48,57,40,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-18,44,54,37,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-19,47,53,41,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-20,52,62,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-21,53,64,44,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-22,54,67,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-23,54,61,46,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-24,53,60,45,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-25,51,58,46,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-26,48,57,39,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-27,49,60,36,
USR0000CCLK,"CLARK CALIFORNIA, CA US",2020-03-28,52,64,39,
