STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-01,,68,36,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-02,,69,36,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-03,,72,37,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-04,,71,36,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-05,,71,33,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-06,,75,58,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-07,,78,41,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-08,,63,34,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-09,,61,37,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-10,,68,35,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-11,,63,32,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-12,,62,38,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-13,,64,39,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-14,,62,34,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-15,,68,36,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-16,,62,32,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-17,,64,41,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-18,,72,38,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-19,,76,55,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-20,,64,46,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-21,,62,49,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-22,,65,44,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-23,,78,40,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-24,,75,39,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-25,,71,38,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-26,,61,45,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-27,,74,37,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-28,,,,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-29,,71,,
USW00053175,"CORONA MUNICIPAL AIRPORT, CA US",2020-01-30,,76,36,
