STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-01,51,65,41,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-02,51,67,39,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-03,57,71,47,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-04,56,71,48,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-05,55,71,46,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-06,55,73,41,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-07,58,75,47,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-08,50,61,41,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-09,46,53,38,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-10,48,62,36,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-11,48,61,40,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-12,46,62,36,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-13,47,60,38,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-14,47,61,38,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-15,50,68,38,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-16,50,63,42,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-17,48,59,42,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-18,53,72,42,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-19,58,77,45,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-20,54,66,48,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-21,49,55,45,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-22,51,62,43,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-23,58,74,44,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-24,60,74,50,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-25,60,75,49,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-26,55,68,44,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-27,55,73,39,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-28,58,74,49,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-29,55,69,43,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-30,55,71,43,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-01-31,59,78,45,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-01,64,82,53,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-02,60,75,49,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-03,47,56,34,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-04,40,54,28,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-05,45,59,34,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-06,49,66,35,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-07,55,72,40,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-08,57,75,44,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-09,47,55,40,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-10,49,62,40,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-11,53,68,41,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-12,51,66,41,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-13,54,70,40,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-14,56,70,46,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-15,56,71,44,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-16,57,72,46,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-17,58,74,45,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-18,59,76,46,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-19,57,73,41,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-20,64,79,49,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-21,65,82,51,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-22,50,57,46,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-23,51,63,44,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-24,58,76,42,
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",2020-02-25,62,79,49,
