STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-01,,66,39,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-02,,74,38,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-03,,70,40,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-04,,71,36,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-05,,72,38,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-06,,77,41,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-07,,74,33,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-08,,68,33,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-09,,70,40,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-10,,72,39,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-11,,64,33,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-12,,66,33,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-13,,68,34,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-14,,69,36,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-15,,69,35,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-16,,68,32,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-17,,68,40,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-18,,74,36,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-19,,77,37,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-20,,71,50,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-21,,67,44,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-22,,73,40,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-23,,77,44,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-24,,77,42,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-25,,78,40,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-26,,73,42,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-27,,82,46,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-28,,79,42,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-29,,75,41,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-30,,80,48,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-01-31,,80,39,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-01,,82,41,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-02,,78,40,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-03,,63,47,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-04,,60,37,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-05,,63,31,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-06,,68,35,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-07,,71,33,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-08,,74,35,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-09,,73,36,
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2020-02-10,,69,42,
