STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-01,,61,43,44
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-02,,59,44,55
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-03,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-04,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-05,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-06,,68,45,56
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-07,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-08,,67,43,48
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-09,,65,44,47
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-10,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-11,,61,42,45
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-12,,61,43,46
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-13,,58,43,45
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-14,,60,43,45
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-15,,62,43,46
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-16,,65,41,43
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-17,,64,43,48
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-18,,61,44,46
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-19,,65,45,61
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-20,,69,53,55
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-21,,66,53,54
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-22,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-23,,65,46,54
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-24,,72,53,55
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-25,,72,53,55
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-26,,72,49,52
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-27,,68,48,60
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-28,,72,52,54
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-29,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-30,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-01-31,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-01,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-02,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-03,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-04,,76,32,42
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-05,,52,42,42
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-06,,59,39,49
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-07,,65,46,52
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-08,,69,40,50
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-09,,72,40,55
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-10,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-11,,66,37,52
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-12,,63,43,48
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-13,,64,40,46
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-14,,64,43,47
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-15,,68,47,53
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-16,,69,49,51
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-17,,71,40,56
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-18,,74,,55
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-19,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-20,,72,,46
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-21,,72,,53
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-22,,74,,58
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-23,,68,,55
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-24,,75,,59
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-25,,77,37,61
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-26,,70,35,49
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-27,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-28,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-02-29,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-01,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-02,,,,51
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-03,,,,59
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-04,,,,51
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-05,,75,,58
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-06,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-07,,81,,61
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-08,,74,43,58
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-09,,71,,53
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-10,,70,,53
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-11,,60,47,57
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-12,,67,,60
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-13,,65,41,53
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-14,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-15,,68,,56
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-16,,69,47,54
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-17,,68,47,54
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-18,,63,41,52
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-19,,58,47,49
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-20,,63,47,48
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-21,,63,45,52
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-22,,68,50,56
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-23,,72,54,61
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-24,,72,48,56
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-25,,72,53,56
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-26,,71,51,51
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-27,,65,48,49
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-28,,66,48,50
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-29,,69,35,53
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-30,,71,37,58
USC00042598,"EAGLE MOUNTAIN, CA US",2020-03-31,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-01,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-02,,82,51,62
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-03,,78,53,59
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-04,,78,,60
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-05,,75,,58
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-06,,74,,58
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-07,,78,52,59
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-08,,71,,56
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-09,,60,45,52
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-10,,66,43,52
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-11,,59,51,52
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-12,,72,49,57
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-13,,72,52,63
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-14,,79,47,70
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-15,,76,44,61
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-16,,82,41,59
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-17,,83,41,62
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-18,,85,40,60
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-19,,76,52,60
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-20,,78,48,64
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-21,,81,60,64
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-22,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-23,,90,56,75
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-24,,93,54,82
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-25,,94,66,74
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-26,,95,59,77
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-27,,100,74,83
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-28,,98,,83
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-29,,99,58,74
USC00042598,"EAGLE MOUNTAIN, CA US",2020-04-30,,100,60,79
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-01,,100,,76
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-02,,100,,72
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-03,,92,53,74
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-04,,93,58,73
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-05,,98,,71
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-06,,98,58,76
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-07,,102,,69
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-08,,101,,88
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-09,,101,,80
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-10,,101,,84
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-11,,98,60,78
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-12,,93,50,76
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-13,,87,53,66
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-14,,84,60,70
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-15,,88,62,70
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-16,,90,52,73
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-17,,93,,78
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-18,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-19,,89,53,66
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-20,,80,51,67
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-21,,83,58,73
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-22,,88,61,63
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-23,,91,52,74
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-24,,88,68,78
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-25,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-26,,95,55,82
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-27,,101,59,87
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-28,,106,61,81
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-29,,105,,83
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-30,,104,64,83
USC00042598,"EAGLE MOUNTAIN, CA US",2020-05-31,,97,,71
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-01,,95,51,77
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-02,,101,61,86
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-03,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-04,,106,86,90
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-05,,106,81,85
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-06,,98,63,74
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-07,,87,62,66
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-08,,91,59,67
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-09,,,,
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-10,,92,,75
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-11,,98,,79
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-12,,102,60,79
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-13,,99,,72
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-14,,94,,74
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-15,,93,58,77
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-16,,97,,76
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-17,,96,61,84
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-18,,96,74,82
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-19,,98,75,82
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-20,,100,82,86
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-21,,103,75,79
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-22,,104,71,87
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-23,,104,72,85
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-24,,103,67,87
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-25,,105,,84
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-26,,103,66,87
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-28,,102,63,81
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-29,,97,59,73
USC00042598,"EAGLE MOUNTAIN, CA US",2020-06-30,,90,63,75
USC00042598,"EAGLE MOUNTAIN, CA US",2020-07-01,,102,72,81
USC00042598,"EAGLE MOUNTAIN, CA US",2020-07-02,,102,73,81
USC00042598,"EAGLE MOUNTAIN, CA US",2020-07-03,,102,72,82
