STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-01,54,62,48,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-02,54,61,47,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-03,59,71,52,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-04,58,67,54,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-05,59,70,53,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-06,58,66,53,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-07,59,71,54,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-08,50,59,42,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-09,44,52,41,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-10,50,58,40,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-11,49,57,41,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-12,47,58,40,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-13,47,58,41,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-14,48,60,43,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-15,54,67,44,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-16,49,59,41,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-17,47,54,41,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-18,53,61,45,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-19,60,70,52,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-20,53,59,45,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-21,46,50,43,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-22,51,61,42,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-23,61,68,56,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-24,62,72,56,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-25,61,72,52,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-26,53,65,44,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-27,56,65,44,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-28,60,71,51,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-29,55,59,49,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-30,59,66,51,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-01-31,63,70,54,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-01,67,76,58,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-02,60,71,46,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-03,43,48,39,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-04,41,46,36,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-05,46,59,37,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-06,51,63,42,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-07,58,70,48,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-08,57,70,41,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-09,44,48,41,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-10,52,58,44,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-11,53,59,47,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-12,51,60,44,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-13,54,68,45,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-14,56,66,50,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-15,57,66,49,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-16,58,69,51,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-17,58,68,50,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-18,59,72,51,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-19,58,69,51,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-20,62,73,54,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-21,61,73,47,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-22,46,51,44,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-23,49,57,44,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-24,58,70,45,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-25,62,70,56,
USR0000CELC,"EL CARISO CALIFORNIA, CA US",2020-02-26,58,68,49,
