STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00042805,"ELSINORE, CA US",2020-01-01,,66,36,
USC00042805,"ELSINORE, CA US",2020-01-02,,69,41,
USC00042805,"ELSINORE, CA US",2020-01-03,,73,38,
USC00042805,"ELSINORE, CA US",2020-01-04,,71,36,
USC00042805,"ELSINORE, CA US",2020-01-05,,71,36,
USC00042805,"ELSINORE, CA US",2020-01-06,,74,45,
USC00042805,"ELSINORE, CA US",2020-01-07,,76,34,
USC00042805,"ELSINORE, CA US",2020-01-08,,61,35,
USC00042805,"ELSINORE, CA US",2020-01-09,,58,42,
USC00042805,"ELSINORE, CA US",2020-01-10,,64,34,
USC00042805,"ELSINORE, CA US",2020-01-11,,61,34,
USC00042805,"ELSINORE, CA US",2020-01-12,,63,42,
USC00042805,"ELSINORE, CA US",2020-01-13,,62,43,
USC00042805,"ELSINORE, CA US",2020-01-14,,61,36,
USC00042805,"ELSINORE, CA US",2020-01-15,,68,39,
USC00042805,"ELSINORE, CA US",2020-01-16,,62,34,
USC00042805,"ELSINORE, CA US",2020-01-17,,59,46,
USC00042805,"ELSINORE, CA US",2020-01-18,,68,36,
USC00042805,"ELSINORE, CA US",2020-01-19,,76,41,
USC00042805,"ELSINORE, CA US",2020-01-20,,72,48,
USC00042805,"ELSINORE, CA US",2020-01-21,,57,49,
USC00042805,"ELSINORE, CA US",2020-01-22,,65,46,
USC00042805,"ELSINORE, CA US",2020-01-23,,76,42,
USC00042805,"ELSINORE, CA US",2020-01-24,,76,43,
USC00042805,"ELSINORE, CA US",2020-01-25,,76,42,
USC00042805,"ELSINORE, CA US",2020-01-26,,64,42,
USC00042805,"ELSINORE, CA US",2020-01-27,,71,43,
USC00042805,"ELSINORE, CA US",2020-01-28,,74,40,
USC00042805,"ELSINORE, CA US",2020-01-29,,66,37,
USC00042805,"ELSINORE, CA US",2020-01-30,,73,43,
USC00042805,"ELSINORE, CA US",2020-01-31,,77,40,
USC00042805,"ELSINORE, CA US",2020-02-01,,83,39,
USC00042805,"ELSINORE, CA US",2020-02-02,,75,39,
USC00042805,"ELSINORE, CA US",2020-02-03,,55,47,
USC00042805,"ELSINORE, CA US",2020-02-04,,54,41,
USC00042805,"ELSINORE, CA US",2020-02-05,,62,27,
USC00042805,"ELSINORE, CA US",2020-02-06,,68,33,
USC00042805,"ELSINORE, CA US",2020-02-07,,70,34,
USC00042805,"ELSINORE, CA US",2020-02-08,,73,35,
USC00042805,"ELSINORE, CA US",2020-02-09,,53,45,
USC00042805,"ELSINORE, CA US",2020-02-10,,65,46,
USC00042805,"ELSINORE, CA US",2020-02-11,,67,57,
USC00042805,"ELSINORE, CA US",2020-02-12,,66,34,
USC00042805,"ELSINORE, CA US",2020-02-13,,71,36,
USC00042805,"ELSINORE, CA US",2020-02-14,,71,38,
USC00042805,"ELSINORE, CA US",2020-02-15,,73,36,
USC00042805,"ELSINORE, CA US",2020-02-16,,74,40,
USC00042805,"ELSINORE, CA US",2020-02-17,,75,41,
USC00042805,"ELSINORE, CA US",2020-02-18,,78,43,
