STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-01,,66,45,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-02,,70,42,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-03,,73,48,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-04,,74,47,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-05,,72,46,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-06,,78,55,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-07,,80,50,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-08,,60,44,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-09,,55,44,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-10,,67,40,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-11,,61,42,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-12,,64,39,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-13,,65,44,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-14,,64,41,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-15,,67,40,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-16,,59,39,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-17,,63,46,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-18,,72,45,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-19,,82,51,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-20,,62,51,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-21,,56,48,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-22,,64,46,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-23,,76,49,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-24,,73,50,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-25,,72,48,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-26,,57,44,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-27,,73,45,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-28,,75,50,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-29,,70,44,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-30,,74,47,
USW00053151,"FALLBROOK 5 NE, CA US",2020-01-31,,81,52,
USW00053151,"FALLBROOK 5 NE, CA US",2020-02-01,,84,53,
USW00053151,"FALLBROOK 5 NE, CA US",2020-02-02,,72,51,
USW00053151,"FALLBROOK 5 NE, CA US",2020-02-03,,61,45,
USW00053151,"FALLBROOK 5 NE, CA US",2020-02-04,,58,38,
