STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-01,,62,42,44
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-02,,65,38,59
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-03,,62,47,48
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-04,,68,37,39
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-05,,72,36,43
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-06,,72,32,59
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-07,,70,45,48
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-08,,69,35,41
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-09,,69,36,43
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-10,,65,37,53
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-11,,64,33,35
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-12,,66,32,46
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-13,,65,34,36
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-14,,65,32,35
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-15,,70,31,35
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-16,,67,31,41
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-17,,68,33,47
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-18,,64,45,56
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-19,,67,47,48
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-20,,73,47,49
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-21,,68,49,54
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-22,,66,41,45
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-23,,70,40,62
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-24,,76,39,53
USC00043855,"HAYFIELD PUMPING PLANT, CA US",2020-01-25,,76,43,47
