STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-01,,53,29,45
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-02,,56,30,53
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-03,,59,31,54
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-04,,59,30,55
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-05,,63,29,56
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-06,,63,39,57
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-07,,65,32,52
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-08,,52,30,32
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-09,,36,28,31
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-10,,51,25,43
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-11,,50,29,42
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-12,,54,28,50
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-13,,55,31,50
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-14,,58,30,51
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-15,,59,31,52
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-16,,56,28,51
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-17,,56,28,52
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-18,,63,30,53
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-19,,69,35,54
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-20,,54,42,42
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-21,,42,37,38
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-22,,52,31,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-23,,58,31,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-24,,58,30,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-25,,59,30,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-26,,54,29,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-27,,57,28,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-28,,56,28,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-29,,59,26,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-30,,55,26,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-01-31,,60,34,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-01,,60,36,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-02,,57,33,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-03,,43,20,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-04,,40,17,35
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-05,,49,18,43
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-06,,63,30,52
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-07,,65,34,59
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-08,,62,31,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-09,,45,29,38
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-10,,49,32,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-11,,53,30,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-12,,54,26,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-13,,59,32,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-14,,56,50,50
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-15,,58,27,52
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-16,,62,32,55
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-17,,63,38,59
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-18,,62,34,58
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-19,,61,32,57
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-20,,63,35,56
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-21,,67,36,48
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-22,,49,35,40
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-23,,53,35,45
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-24,,64,31,58
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-25,,65,31,60
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-26,,64,41,59
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-27,,68,35,58
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-28,,67,43,57
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-02-29,,58,35,37
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-01,,39,29,35
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-02,,51,26,44
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-03,,62,34,58
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-04,,65,33,59
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-05,,68,35,60
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-06,,64,35,50
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-07,,50,34,45
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-08,,51,32,41
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-09,,59,28,55
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-10,,57,43,51
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-11,,59,32,50
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-12,,50,35,40
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-13,,41,36,39
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-14,,46,37,38
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-15,,48,31,37
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-16,,49,28,36
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-17,,39,32,35
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-18,,36,27,34
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-19,,41,32,33
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-20,,45,30,32
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-21,,50,30,40
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-22,,56,29,45
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-23,,45,37,40
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-24,,52,28,40
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-25,,49,30,39
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-26,,40,28,35
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-27,,43,28,39
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-28,,52,39,45
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-29,,53,27,44
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-30,,62,28,52
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-03-31,,66,37,60
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-01,,66,42,56
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-02,,57,40,55
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-03,,58,29,54
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-04,,59,33,53
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-05,,55,32,45
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-06,,45,37,39
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-07,,48,37,38
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-08,,38,32,37
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-09,,39,31,36
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-10,,40,32,35
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-11,,47,33,45
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-12,,48,32,45
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-13,,47,34,45
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-14,,61,35,55
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-15,,65,31,60
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-16,,63,34,51
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-17,,51,34,41
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-18,,45,32,40
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-19,,61,31,54
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-20,,61,31,53
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-21,,62,41,56
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-22,,74,40,70
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-23,,79,43,75
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-24,,83,56,76
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-25,,83,47,77
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-26,,77,47,70
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-27,,76,44,71
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-28,,92,48,85
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-29,,85,52,80
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-04-30,,81,51,75
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-01,,76,46,71
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-02,,72,46,68
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-03,,74,41,69
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-04,,79,39,74
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-05,,81,44,75
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-06,,86,46,80
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-07,,86,46,79
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-08,,84,50,78
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-09,,85,51,77
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-10,,80,51,72
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-11,,73,41,63
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-12,,63,49,53
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-13,,62,35,52
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-14,,68,39,65
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-15,,72,41,67
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-16,,76,44,69
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-17,,74,44,65
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-18,,66,38,52
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-19,,52,35,48
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-20,,66,31,64
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-21,,76,36,70
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-22,,70,39,65
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-23,,69,42,68
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-24,,76,40,73
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-25,,83,45,78
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-26,,86,48,79
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-27,,89,51,80
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-28,,90,53,81
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-29,,84,54,73
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-30,,73,46,65
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-05-31,,77,49,70
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-01,,79,45,69
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-02,,83,62,74
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-03,,90,55,82
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-04,,85,55,
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-05,,70,52,61
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-06,,61,47,60
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-07,,67,50,63
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-08,,75,35,70
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-09,,82,54,76
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-10,,86,44,81
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-11,,85,49,75
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-12,,78,45,70
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-13,,74,44,69
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-14,,75,41,70
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-15,,83,47,75
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-16,,76,46,72
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",2020-06-17,,76,42,73
