STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00044259,"INDIO FIRE STATION, CA US",2020-01-01,,65,44,61
USC00044259,"INDIO FIRE STATION, CA US",2020-01-02,,74,45,70
USC00044259,"INDIO FIRE STATION, CA US",2020-01-03,,70,46,66
USC00044259,"INDIO FIRE STATION, CA US",2020-01-04,,70,44,67
USC00044259,"INDIO FIRE STATION, CA US",2020-01-05,,71,45,68
USC00044259,"INDIO FIRE STATION, CA US",2020-01-06,,77,50,73
USC00044259,"INDIO FIRE STATION, CA US",2020-01-07,,73,44,67
USC00044259,"INDIO FIRE STATION, CA US",2020-01-08,,67,42,63
USC00044259,"INDIO FIRE STATION, CA US",2020-01-09,,69,54,62
USC00044259,"INDIO FIRE STATION, CA US",2020-01-10,,71,48,61
USC00044259,"INDIO FIRE STATION, CA US",2020-01-11,,63,41,60
USC00044259,"INDIO FIRE STATION, CA US",2020-01-12,,65,44,62
USC00044259,"INDIO FIRE STATION, CA US",2020-01-13,,68,42,62
USC00044259,"INDIO FIRE STATION, CA US",2020-01-14,,69,43,63
USC00044259,"INDIO FIRE STATION, CA US",2020-01-15,,69,43,64
USC00044259,"INDIO FIRE STATION, CA US",2020-01-16,,66,44,63
USC00044259,"INDIO FIRE STATION, CA US",2020-01-17,,67,46,64
USC00044259,"INDIO FIRE STATION, CA US",2020-01-18,,73,44,65
USC00044259,"INDIO FIRE STATION, CA US",2020-01-19,,75,46,67
USC00044259,"INDIO FIRE STATION, CA US",2020-01-20,,68,55,65
USC00044259,"INDIO FIRE STATION, CA US",2020-01-21,,66,55,63
USC00044259,"INDIO FIRE STATION, CA US",2020-01-22,,71,50,69
USC00044259,"INDIO FIRE STATION, CA US",2020-01-23,,78,51,73
USC00044259,"INDIO FIRE STATION, CA US",2020-01-24,,77,51,74
USC00044259,"INDIO FIRE STATION, CA US",2020-01-25,,80,50,75
USC00044259,"INDIO FIRE STATION, CA US",2020-01-26,,75,49,70
USC00044259,"INDIO FIRE STATION, CA US",2020-01-27,,82,56,77
USC00044259,"INDIO FIRE STATION, CA US",2020-01-28,,80,50,73
USC00044259,"INDIO FIRE STATION, CA US",2020-01-29,,73,53,69
USC00044259,"INDIO FIRE STATION, CA US",2020-01-30,,79,54,75
USC00044259,"INDIO FIRE STATION, CA US",2020-01-31,,80,49,75
USC00044259,"INDIO FIRE STATION, CA US",2020-02-01,,80,50,75
USC00044259,"INDIO FIRE STATION, CA US",2020-02-02,,76,50,
USC00044259,"INDIO FIRE STATION, CA US",2020-02-03,,63,57,59
USC00044259,"INDIO FIRE STATION, CA US",2020-02-04,,59,45,55
USC00044259,"INDIO FIRE STATION, CA US",2020-02-05,,62,41,58
USC00044259,"INDIO FIRE STATION, CA US",2020-02-06,,66,42,60
USC00044259,"INDIO FIRE STATION, CA US",2020-02-07,,71,43,65
USC00044259,"INDIO FIRE STATION, CA US",2020-02-08,,72,45,70
USC00044259,"INDIO FIRE STATION, CA US",2020-02-09,,70,46,65
USC00044259,"INDIO FIRE STATION, CA US",2020-02-10,,68,57,64
USC00044259,"INDIO FIRE STATION, CA US",2020-02-11,,70,50,65
USC00044259,"INDIO FIRE STATION, CA US",2020-02-12,,68,43,61
USC00044259,"INDIO FIRE STATION, CA US",2020-02-13,,70,43,65
USC00044259,"INDIO FIRE STATION, CA US",2020-02-14,,73,46,70
USC00044259,"INDIO FIRE STATION, CA US",2020-02-15,,76,48,75
USC00044259,"INDIO FIRE STATION, CA US",2020-02-16,,75,49,70
USC00044259,"INDIO FIRE STATION, CA US",2020-02-17,,83,51,78
USC00044259,"INDIO FIRE STATION, CA US",2020-02-18,,80,54,77
USC00044259,"INDIO FIRE STATION, CA US",2020-02-19,,80,53,76
USC00044259,"INDIO FIRE STATION, CA US",2020-02-20,,80,53,75
USC00044259,"INDIO FIRE STATION, CA US",2020-02-21,,82,54,72
USC00044259,"INDIO FIRE STATION, CA US",2020-02-22,,72,60,69
USC00044259,"INDIO FIRE STATION, CA US",2020-02-23,,76,57,71
USC00044259,"INDIO FIRE STATION, CA US",2020-02-24,,85,52,78
USC00044259,"INDIO FIRE STATION, CA US",2020-02-25,,81,59,75
USC00044259,"INDIO FIRE STATION, CA US",2020-02-26,,76,48,71
USC00044259,"INDIO FIRE STATION, CA US",2020-02-27,,79,47,72
USC00044259,"INDIO FIRE STATION, CA US",2020-02-28,,81,56,73
USC00044259,"INDIO FIRE STATION, CA US",2020-02-29,,82,52,72
USC00044259,"INDIO FIRE STATION, CA US",2020-03-01,,72,59,67
USC00044259,"INDIO FIRE STATION, CA US",2020-03-02,,68,55,63
USC00044259,"INDIO FIRE STATION, CA US",2020-03-03,,83,63,73
USC00044259,"INDIO FIRE STATION, CA US",2020-03-04,,73,53,69
USC00044259,"INDIO FIRE STATION, CA US",2020-03-05,,83,54,75
USC00044259,"INDIO FIRE STATION, CA US",2020-03-06,,85,59,77
USC00044259,"INDIO FIRE STATION, CA US",2020-03-07,,77,57,70
USC00044259,"INDIO FIRE STATION, CA US",2020-03-08,,75,59,65
USC00044259,"INDIO FIRE STATION, CA US",2020-03-09,,73,53,64
USC00044259,"INDIO FIRE STATION, CA US",2020-03-10,,64,56,60
USC00044259,"INDIO FIRE STATION, CA US",2020-03-11,,73,57,65
USC00044259,"INDIO FIRE STATION, CA US",2020-03-12,,65,58,60
USC00044259,"INDIO FIRE STATION, CA US",2020-03-13,,69,49,63
USC00044259,"INDIO FIRE STATION, CA US",2020-03-14,,71,51,64
USC00044259,"INDIO FIRE STATION, CA US",2020-03-15,,73,58,65
USC00044259,"INDIO FIRE STATION, CA US",2020-03-16,,70,56,66
USC00044259,"INDIO FIRE STATION, CA US",2020-03-17,,67,57,60
USC00044259,"INDIO FIRE STATION, CA US",2020-03-18,,60,53,56
USC00044259,"INDIO FIRE STATION, CA US",2020-03-19,,66,44,66
USC00044259,"INDIO FIRE STATION, CA US",2020-03-20,,67,46,67
USC00044259,"INDIO FIRE STATION, CA US",2020-03-21,,73,54,68
USC00044259,"INDIO FIRE STATION, CA US",2020-03-22,,75,57,69
USC00044259,"INDIO FIRE STATION, CA US",2020-03-23,,74,61,70
USC00044259,"INDIO FIRE STATION, CA US",2020-03-24,,76,58,71
USC00044259,"INDIO FIRE STATION, CA US",2020-03-25,,72,59,69
USC00044259,"INDIO FIRE STATION, CA US",2020-03-26,,69,54,67
USC00044259,"INDIO FIRE STATION, CA US",2020-03-27,,72,52,68
USC00044259,"INDIO FIRE STATION, CA US",2020-03-28,,72,53,69
USC00044259,"INDIO FIRE STATION, CA US",2020-03-29,,77,58,73
USC00044259,"INDIO FIRE STATION, CA US",2020-03-30,,82,59,78
USC00044259,"INDIO FIRE STATION, CA US",2020-03-31,,81,60,77
USC00044259,"INDIO FIRE STATION, CA US",2020-04-01,,86,59,80
USC00044259,"INDIO FIRE STATION, CA US",2020-04-02,,81,63,75
USC00044259,"INDIO FIRE STATION, CA US",2020-04-03,,83,62,76
USC00044259,"INDIO FIRE STATION, CA US",2020-04-04,,82,62,77
USC00044259,"INDIO FIRE STATION, CA US",2020-04-05,,78,61,72
USC00044259,"INDIO FIRE STATION, CA US",2020-04-06,,75,60,70
USC00044259,"INDIO FIRE STATION, CA US",2020-04-07,,70,60,65
USC00044259,"INDIO FIRE STATION, CA US",2020-04-08,,65,52,55
USC00044259,"INDIO FIRE STATION, CA US",2020-04-09,,66,49,60
USC00044259,"INDIO FIRE STATION, CA US",2020-04-10,,61,54,58
USC00044259,"INDIO FIRE STATION, CA US",2020-04-11,,77,53,75
USC00044259,"INDIO FIRE STATION, CA US",2020-04-12,,75,60,74
USC00044259,"INDIO FIRE STATION, CA US",2020-04-13,,78,62,73
USC00044259,"INDIO FIRE STATION, CA US",2020-04-14,,83,62,80
USC00044259,"INDIO FIRE STATION, CA US",2020-04-15,,88,56,83
USC00044259,"INDIO FIRE STATION, CA US",2020-04-16,,87,64,81
USC00044259,"INDIO FIRE STATION, CA US",2020-04-17,,81,67,77
USC00044259,"INDIO FIRE STATION, CA US",2020-04-18,,78,62,74
USC00044259,"INDIO FIRE STATION, CA US",2020-04-19,,82,62,80
USC00044259,"INDIO FIRE STATION, CA US",2020-04-20,,82,64,81
USC00044259,"INDIO FIRE STATION, CA US",2020-04-21,,85,63,82
USC00044259,"INDIO FIRE STATION, CA US",2020-04-22,,98,66,97
USC00044259,"INDIO FIRE STATION, CA US",2020-04-23,,100,72,98
USC00044259,"INDIO FIRE STATION, CA US",2020-04-24,,102,76,99
USC00044259,"INDIO FIRE STATION, CA US",2020-04-25,,101,74,100
USC00044259,"INDIO FIRE STATION, CA US",2020-04-26,,104,79,101
USC00044259,"INDIO FIRE STATION, CA US",2020-04-27,,101,77,100
USC00044259,"INDIO FIRE STATION, CA US",2020-04-28,,101,77,99
USC00044259,"INDIO FIRE STATION, CA US",2020-04-29,,101,77,98
USC00044259,"INDIO FIRE STATION, CA US",2020-04-30,,100,76,97
USC00044259,"INDIO FIRE STATION, CA US",2020-05-01,,99,77,96
USC00044259,"INDIO FIRE STATION, CA US",2020-05-02,,96,73,95
USC00044259,"INDIO FIRE STATION, CA US",2020-05-03,,96,74,94
