STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-01,44,53,39,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-02,46,59,38,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-03,50,62,42,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-04,49,59,42,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-05,51,60,44,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-06,54,64,47,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-07,53,68,43,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-08,43,51,36,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-09,35,38,32,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-10,41,54,30,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-11,41,49,32,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-12,42,51,35,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-13,42,53,32,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-14,45,55,38,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-15,49,61,41,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-16,44,57,34,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-17,41,49,36,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-18,51,66,41,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-19,57,67,50,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-20,49,57,40,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-21,40,43,37,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-22,44,52,37,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-23,51,62,42,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-24,51,63,42,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-25,52,64,42,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-26,48,57,40,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-27,50,61,39,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-28,50,61,41,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-29,46,55,38,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-30,49,61,38,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-01-31,56,68,47,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-01,60,71,50,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-02,52,64,38,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-03,37,45,29,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-04,31,40,23,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-05,37,49,24,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-06,47,58,38,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-07,53,67,44,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-08,51,63,41,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-09,39,47,34,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-10,43,49,35,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-11,44,54,36,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-12,43,54,35,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-13,48,61,36,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-14,46,58,37,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-15,47,60,37,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-16,51,62,42,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-17,53,65,42,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-18,52,64,45,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-19,51,63,43,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-20,53,65,43,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-21,56,67,45,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-22,40,47,36,
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",2020-02-23,42,50,37,
