STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00045091,"LONG VALLEY 2, CA US",2020-01-01,,41,17,39
USC00045091,"LONG VALLEY 2, CA US",2020-01-02,,56,1,39
USC00045091,"LONG VALLEY 2, CA US",2020-01-03,,46,28,39
USC00045091,"LONG VALLEY 2, CA US",2020-01-04,,50,21,28
USC00045091,"LONG VALLEY 2, CA US",2020-01-05,,52,23,45
USC00045091,"LONG VALLEY 2, CA US",2020-01-06,,55,23,42
USC00045091,"LONG VALLEY 2, CA US",2020-01-07,,49,22,48
USC00045091,"LONG VALLEY 2, CA US",2020-01-08,,52,17,39
USC00045091,"LONG VALLEY 2, CA US",2020-01-09,,48,27,35
USC00045091,"LONG VALLEY 2, CA US",2020-01-10,,36,14,35
USC00045091,"LONG VALLEY 2, CA US",2020-01-11,,43,19,43
USC00045091,"LONG VALLEY 2, CA US",2020-01-12,,43,20,36
USC00045091,"LONG VALLEY 2, CA US",2020-01-13,,39,17,38
USC00045091,"LONG VALLEY 2, CA US",2020-01-14,,52,18,46
USC00045091,"LONG VALLEY 2, CA US",2020-01-15,,51,35,45
USC00045091,"LONG VALLEY 2, CA US",2020-01-16,,49,31,41
USC00045091,"LONG VALLEY 2, CA US",2020-01-17,,51,28,40
USC00045091,"LONG VALLEY 2, CA US",2020-01-18,,46,22,37
USC00045091,"LONG VALLEY 2, CA US",2020-01-19,,50,25,36
USC00045091,"LONG VALLEY 2, CA US",2020-01-20,,48,35,40
USC00045091,"LONG VALLEY 2, CA US",2020-01-21,,47,32,45
USC00045091,"LONG VALLEY 2, CA US",2020-01-22,,47,30,41
USC00045091,"LONG VALLEY 2, CA US",2020-01-23,,47,27,40
USC00045091,"LONG VALLEY 2, CA US",2020-01-24,,46,25,45
USC00045091,"LONG VALLEY 2, CA US",2020-01-25,,53,24,27
USC00045091,"LONG VALLEY 2, CA US",2020-01-26,,52,26,43
USC00045091,"LONG VALLEY 2, CA US",2020-01-27,,52,25,41
USC00045091,"LONG VALLEY 2, CA US",2020-01-28,,47,24,41
USC00045091,"LONG VALLEY 2, CA US",2020-01-29,,51,25,30
USC00045091,"LONG VALLEY 2, CA US",2020-01-30,,43,13,42
USC00045091,"LONG VALLEY 2, CA US",2020-01-31,,42,25,40
USC00045091,"LONG VALLEY 2, CA US",2020-02-01,,53,30,35
USC00045091,"LONG VALLEY 2, CA US",2020-02-02,,56,27,45
USC00045091,"LONG VALLEY 2, CA US",2020-02-03,,54,,
USC00045091,"LONG VALLEY 2, CA US",2020-02-04,,30,2,13
USC00045091,"LONG VALLEY 2, CA US",2020-02-05,,36,-3,33
USC00045091,"LONG VALLEY 2, CA US",2020-02-06,,42,-13,36
USC00045091,"LONG VALLEY 2, CA US",2020-02-07,,52,26,29
USC00045091,"LONG VALLEY 2, CA US",2020-02-08,,53,,
USC00045091,"LONG VALLEY 2, CA US",2020-02-09,,43,20,29
USC00045091,"LONG VALLEY 2, CA US",2020-02-10,,54,13,23
USC00045091,"LONG VALLEY 2, CA US",2020-02-11,,27,5,25
USC00045091,"LONG VALLEY 2, CA US",2020-02-12,,41,9,39
USC00045091,"LONG VALLEY 2, CA US",2020-02-13,,47,18,37
USC00045091,"LONG VALLEY 2, CA US",2020-02-14,,45,11,36
USC00045091,"LONG VALLEY 2, CA US",2020-02-15,,42,19,24
USC00045091,"LONG VALLEY 2, CA US",2020-02-16,,45,24,41
USC00045091,"LONG VALLEY 2, CA US",2020-02-17,,58,40,43
USC00045091,"LONG VALLEY 2, CA US",2020-02-18,,49,24,39
USC00045091,"LONG VALLEY 2, CA US",2020-02-19,,47,35,42
USC00045091,"LONG VALLEY 2, CA US",2020-02-20,,47,25,39
USC00045091,"LONG VALLEY 2, CA US",2020-02-21,,46,29,45
USC00045091,"LONG VALLEY 2, CA US",2020-02-22,,48,26,28
USC00045091,"LONG VALLEY 2, CA US",2020-02-23,,38,21,32
USC00045091,"LONG VALLEY 2, CA US",2020-02-24,,46,26,40
USC00045091,"LONG VALLEY 2, CA US",2020-02-25,,46,30,39
USC00045091,"LONG VALLEY 2, CA US",2020-02-26,,45,27,30
USC00045091,"LONG VALLEY 2, CA US",2020-02-27,,48,26,40
USC00045091,"LONG VALLEY 2, CA US",2020-02-28,,50,26,36
USC00045091,"LONG VALLEY 2, CA US",2020-02-29,,51,27,40
USC00045091,"LONG VALLEY 2, CA US",2020-03-01,,47,3,31
USC00045091,"LONG VALLEY 2, CA US",2020-03-02,,39,12,21
USC00045091,"LONG VALLEY 2, CA US",2020-03-03,,39,13,38
USC00045091,"LONG VALLEY 2, CA US",2020-03-04,,48,29,42
USC00045091,"LONG VALLEY 2, CA US",2020-03-05,,52,25,46
USC00045091,"LONG VALLEY 2, CA US",2020-03-06,,53,26,45
USC00045091,"LONG VALLEY 2, CA US",2020-03-07,,50,32,39
USC00045091,"LONG VALLEY 2, CA US",2020-03-08,,46,25,29
USC00045091,"LONG VALLEY 2, CA US",2020-03-09,,46,24,37
USC00045091,"LONG VALLEY 2, CA US",2020-03-10,,44,27,32
USC00045091,"LONG VALLEY 2, CA US",2020-03-11,,43,27,37
USC00045091,"LONG VALLEY 2, CA US",2020-03-12,,48,29,34
USC00045091,"LONG VALLEY 2, CA US",2020-03-13,,35,18,34
USC00045091,"LONG VALLEY 2, CA US",2020-03-14,,48,24,37
USC00045091,"LONG VALLEY 2, CA US",2020-03-15,,45,26,30
