STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-01,40,58,23,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-02,45,52,36,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-03,47,58,36,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-04,48,67,35,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-05,45,62,32,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-06,43,55,29,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-07,46,64,28,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-08,48,57,30,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-09,42,49,32,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-10,40,49,31,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-11,47,58,36,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-12,42,57,27,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-13,48,60,37,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-14,49,65,31,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-15,46,61,29,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-16,46,59,34,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-17,39,48,28,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-18,38,52,24,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-19,44,59,27,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-20,50,58,41,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-21,45,52,38,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-22,42,55,32,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-23,47,60,36,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-24,46,65,32,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-25,47,66,32,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-26,50,64,36,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-27,49,59,35,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-28,48,65,32,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-29,47,52,41,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-30,48,57,39,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-01-31,49,62,37,
USR0000CLHO,"LOST HORSE CALIFORNIA, CA US",2020-02-01,48,66,33,
