STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00023119,"MARCH AFB, CA US",2020-01-01,,64,32,
USW00023119,"MARCH AFB, CA US",2020-01-02,,68,37,
USW00023119,"MARCH AFB, CA US",2020-01-03,,72,34,
USW00023119,"MARCH AFB, CA US",2020-01-04,,69,31,
USW00023119,"MARCH AFB, CA US",2020-01-05,,69,29,
USW00023119,"MARCH AFB, CA US",2020-01-06,,72,38,
USW00023119,"MARCH AFB, CA US",2020-01-07,,73,35,
USW00023119,"MARCH AFB, CA US",2020-01-08,,61,28,
USW00023119,"MARCH AFB, CA US",2020-01-09,,55,34,
USW00023119,"MARCH AFB, CA US",2020-01-10,,62,32,
USW00023119,"MARCH AFB, CA US",2020-01-11,,60,28,
USW00023119,"MARCH AFB, CA US",2020-01-12,,59,34,
USW00023119,"MARCH AFB, CA US",2020-01-13,,59,34,
USW00023119,"MARCH AFB, CA US",2020-01-14,,58,30,
USW00023119,"MARCH AFB, CA US",2020-01-15,,66,36,
USW00023119,"MARCH AFB, CA US",2020-01-16,,60,28,
USW00023119,"MARCH AFB, CA US",2020-01-17,,61,37,
USW00023119,"MARCH AFB, CA US",2020-01-18,,68,34,
USW00023119,"MARCH AFB, CA US",2020-01-19,,75,38,
USW00023119,"MARCH AFB, CA US",2020-01-20,,61,44,
USW00023119,"MARCH AFB, CA US",2020-01-21,,56,45,
USW00023119,"MARCH AFB, CA US",2020-01-22,,62,39,
USW00023119,"MARCH AFB, CA US",2020-01-23,,74,35,
USW00023119,"MARCH AFB, CA US",2020-01-24,,73,34,
USW00023119,"MARCH AFB, CA US",2020-01-25,,74,34,
USW00023119,"MARCH AFB, CA US",2020-01-26,,62,38,
USW00023119,"MARCH AFB, CA US",2020-01-27,,71,38,
USW00023119,"MARCH AFB, CA US",2020-01-28,,73,33,
USW00023119,"MARCH AFB, CA US",2020-01-29,,67,32,
USW00023119,"MARCH AFB, CA US",2020-01-30,,73,31,
USW00023119,"MARCH AFB, CA US",2020-01-31,,78,37,
USW00023119,"MARCH AFB, CA US",2020-02-01,,81,33,
USW00023119,"MARCH AFB, CA US",2020-02-02,,75,33,
USW00023119,"MARCH AFB, CA US",2020-02-03,,56,40,
USW00023119,"MARCH AFB, CA US",2020-02-04,,54,24,
USW00023119,"MARCH AFB, CA US",2020-02-05,,61,19,
USW00023119,"MARCH AFB, CA US",2020-02-06,,66,27,
USW00023119,"MARCH AFB, CA US",2020-02-07,,68,29,
USW00023119,"MARCH AFB, CA US",2020-02-08,,71,30,
USW00023119,"MARCH AFB, CA US",2020-02-09,,55,39,
USW00023119,"MARCH AFB, CA US",2020-02-10,,66,38,
USW00023119,"MARCH AFB, CA US",2020-02-11,,67,36,
USW00023119,"MARCH AFB, CA US",2020-02-12,,64,26,
USW00023119,"MARCH AFB, CA US",2020-02-13,,70,28,
USW00023119,"MARCH AFB, CA US",2020-02-14,,69,30,
USW00023119,"MARCH AFB, CA US",2020-02-15,,70,28,
USW00023119,"MARCH AFB, CA US",2020-02-16,,72,33,
USW00023119,"MARCH AFB, CA US",2020-02-17,,74,33,
USW00023119,"MARCH AFB, CA US",2020-02-18,,76,35,
USW00023119,"MARCH AFB, CA US",2020-02-19,,71,40,
USW00023119,"MARCH AFB, CA US",2020-02-20,,78,34,
USW00023119,"MARCH AFB, CA US",2020-02-21,,78,37,
USW00023119,"MARCH AFB, CA US",2020-02-22,,58,47,
USW00023119,"MARCH AFB, CA US",2020-02-23,,62,40,
USW00023119,"MARCH AFB, CA US",2020-02-24,,75,34,
USW00023119,"MARCH AFB, CA US",2020-02-25,,77,35,
USW00023119,"MARCH AFB, CA US",2020-02-26,,74,53,
USW00023119,"MARCH AFB, CA US",2020-02-27,,79,38,
USW00023119,"MARCH AFB, CA US",2020-02-28,,82,43,
USW00023119,"MARCH AFB, CA US",2020-02-29,,71,37,
USW00023119,"MARCH AFB, CA US",2020-03-01,,58,41,
USW00023119,"MARCH AFB, CA US",2020-03-02,,64,33,
USW00023119,"MARCH AFB, CA US",2020-03-03,,78,51,
USW00023119,"MARCH AFB, CA US",2020-03-04,,76,33,
USW00023119,"MARCH AFB, CA US",2020-03-05,,81,36,
USW00023119,"MARCH AFB, CA US",2020-03-06,,79,37,
USW00023119,"MARCH AFB, CA US",2020-03-07,,64,50,
USW00023119,"MARCH AFB, CA US",2020-03-08,,64,40,
USW00023119,"MARCH AFB, CA US",2020-03-09,,72,36,
