STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-01,,67,43,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-02,,75,46,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-03,,71,47,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-04,,71,44,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-05,,74,44,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-06,,77,52,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-07,,73,46,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-08,,69,43,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-09,,71,45,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-10,,70,41,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-11,,64,42,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-12,,66,41,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-13,,68,45,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-14,,69,43,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-15,,70,43,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-16,,68,45,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-17,,67,46,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-18,,73,44,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-19,,76,49,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-20,,71,55,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-21,,67,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-22,,71,49,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-23,,80,48,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-24,,79,53,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-25,,78,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-26,,75,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-27,,80,49,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-28,,78,53,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-29,,75,53,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-30,,79,47,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-01-31,,82,52,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-01,,82,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-02,,79,49,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-03,,62,48,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-04,,60,45,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-05,,64,38,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-06,,70,41,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-07,,74,44,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-08,,73,45,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-09,,72,47,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-10,,71,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-11,,72,49,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-12,,72,41,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-13,,71,43,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-14,,75,45,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-15,,79,49,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-16,,79,49,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-17,,84,53,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-18,,81,54,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-19,,82,53,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-20,,81,54,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-21,,83,52,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-22,,72,57,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-23,,76,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-24,,89,48,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-25,,83,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-26,,77,46,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-27,,80,49,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-28,,85,57,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-02-29,,83,54,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-01,,74,50,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-02,,70,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-03,,84,63,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-04,,77,52,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-05,,84,54,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-06,,87,58,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-07,,77,56,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-08,,76,54,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-09,,74,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-10,,63,57,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-11,,75,56,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-12,,66,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-13,,71,48,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-14,,73,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-15,,75,50,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-16,,72,50,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-17,,70,55,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-18,,57,47,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-19,,67,44,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-20,,69,47,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-21,,76,54,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-22,,78,54,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-23,,76,57,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-24,,77,51,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-25,,73,54,
USW00093138,"PALM SPRINGS ASOS, CA US",2020-03-26,,70,50,
