STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-01,47,62,34,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-02,53,68,38,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-03,52,68,40,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-04,51,70,36,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-05,51,67,35,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-06,53,71,39,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-07,49,67,36,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-08,49,67,34,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-09,49,61,41,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-10,52,64,38,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-11,48,64,36,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-12,47,65,35,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-13,48,66,36,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-14,50,68,34,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-15,49,68,33,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-16,52,68,35,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-17,52,63,39,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-18,51,68,34,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-19,56,72,42,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-20,56,66,47,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-21,54,64,47,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-22,53,66,41,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-23,56,75,42,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-24,55,74,42,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-25,55,75,39,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-26,58,74,41,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-27,60,75,46,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-28,56,76,41,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-29,61,69,46,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-30,63,72,56,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-01-31,60,74,42,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-02-01,58,78,42,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-02-02,62,78,40,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-02-03,52,59,42,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-02-04,48,54,43,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-02-05,48,58,38,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-02-06,51,69,34,
USR0000CRIC,"RICE VALLEY CALIFORNIA, CA US",2020-02-07,54,73,37,
