STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-01,,66,40,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-02,,72,39,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-03,,71,44,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-04,,69,41,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-05,,71,41,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-06,,75,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-07,,77,48,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-08,,63,39,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-09,,58,43,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-10,,66,38,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-11,,62,39,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-12,,61,39,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-13,,61,44,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-14,,61,40,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-15,,66,42,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-16,,59,37,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-17,,62,42,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-18,,70,40,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-19,,76,54,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-20,,62,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-21,,58,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-22,,64,47,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-23,,78,44,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-24,,75,45,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-25,,76,43,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-26,,58,46,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-27,,75,44,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-28,,74,42,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-29,,69,42,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-30,,77,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-01-31,,80,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-01,,85,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-02,,75,46,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-03,,57,47,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-04,,56,43,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-05,,62,35,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-06,,66,38,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-07,,70,38,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-08,,71,40,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-09,,61,48,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-10,,69,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-11,,70,47,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-12,,67,40,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-13,,72,39,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-14,,71,41,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-15,,71,40,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-16,,73,44,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-17,,74,43,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-18,,77,43,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-19,,71,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-20,,81,44,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-21,,82,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-22,,62,52,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-23,,65,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-24,,77,43,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-25,,80,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-26,,80,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-27,,83,47,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-28,,84,55,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-02-29,,74,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-01,,63,47,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-02,,67,45,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-03,,81,54,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-04,,77,45,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-05,,83,47,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-06,,77,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-07,,67,51,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-08,,67,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-09,,75,45,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-10,,70,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-11,,73,51,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-12,,59,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-13,,56,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-14,,61,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-15,,62,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-16,,64,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-17,,60,44,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-18,,57,39,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-19,,59,46,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-20,,64,46,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-21,,67,46,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-22,,70,46,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-23,,65,51,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-24,,65,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-25,,64,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-26,,61,43,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-27,,64,41,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-28,,67,40,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-29,,67,44,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-30,,74,46,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-03-31,,79,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-01,,75,52,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-02,,70,55,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-03,,70,51,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-04,,69,52,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-05,,62,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-06,,57,51,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-07,,60,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-08,,62,48,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-09,,54,48,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-10,,60,47,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-11,,69,47,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-12,,62,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-13,,63,52,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-14,,80,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-15,,82,46,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-16,,77,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-17,,69,49,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-18,,64,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-19,,67,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-20,,68,54,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-21,,74,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-22,,87,50,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-23,,91,55,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-24,,99,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-25,,94,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-26,,91,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-27,,86,57,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-28,,90,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-29,,87,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-04-30,,85,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-01,,82,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-02,,82,56,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-03,,82,55,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-04,,90,54,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-05,,97,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-06,,98,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-07,,99,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-08,,93,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-09,,86,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-10,,83,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-11,,81,56,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-12,,76,55,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-13,,76,54,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-14,,80,53,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-15,,83,55,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-16,,88,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-17,,85,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-18,,73,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-19,,73,54,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-20,,80,51,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-21,,90,54,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-22,,83,55,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-23,,80,56,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-24,,89,55,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-25,,93,57,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-26,,97,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-27,,96,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-28,,88,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-29,,80,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-30,,82,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-05-31,,87,56,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-01,,91,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-02,,89,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-03,,101,66,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-04,,88,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-05,,74,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-06,,75,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-07,,79,57,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-08,,88,51,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-09,,99,55,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-10,,102,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-11,,98,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-12,,88,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-13,,83,57,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-14,,86,57,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-15,,88,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-16,,81,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-17,,80,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-18,,78,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-19,,85,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-20,,83,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-21,,85,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-22,,92,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-23,,91,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-24,,93,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-25,,89,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-26,,91,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-27,,90,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-28,,78,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-29,,79,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-06-30,,85,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-01,,82,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-02,,87,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-03,,96,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-04,,94,65,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-05,,100,64,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-06,,100,64,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-07,,95,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-08,,93,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-09,,94,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-10,,100,64,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-11,,105,71,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-12,,103,70,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-13,,97,66,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-14,,90,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-15,,91,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-16,,90,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-17,,92,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-18,,94,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-19,,94,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-20,,91,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-21,,92,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-22,,87,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-23,,84,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-24,,87,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-25,,92,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-26,,97,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-27,,90,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-28,,92,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-29,,95,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-30,,103,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-07-31,,107,72,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-01,,103,69,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-02,,99,67,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-03,,96,64,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-04,,89,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-05,,87,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-06,,87,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-07,,89,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-08,,92,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-09,,94,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-10,,95,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-11,,95,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-12,,101,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-13,,102,72,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-14,,105,72,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-15,,109,75,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-16,,102,73,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-17,,102,76,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-18,,108,74,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-19,,106,75,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-20,,103,74,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-21,,102,73,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-22,,99,75,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-23,,98,73,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-24,,97,73,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-25,,99,69,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-26,,101,69,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-27,,102,69,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-28,,99,67,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-29,,95,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-30,,92,59,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-08-31,,89,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-01,,89,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-02,,92,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-03,,96,64,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-04,,103,67,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-05,,117,70,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-06,,117,78,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-07,,93,71,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-08,,83,67,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-09,,94,64,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-10,,91,58,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-11,,95,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-12,,95,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-13,,96,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-14,,97,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-15,,98,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-16,,99,64,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-17,,101,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-18,,102,67,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-19,,98,65,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-20,,95,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-21,,92,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-22,,94,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-23,,93,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-24,,96,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-25,,91,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-26,,90,60,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-27,,91,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-28,,104,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-29,,105,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-09-30,,108,66,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-10-01,,106,69,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-10-02,,105,66,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-10-03,,101,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-10-04,,98,61,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-10-05,,97,63,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-10-06,,95,62,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2020-10-07,,91,61,
