STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00047813,"SAN JACINTO, CA US",2020-01-01,,66,38,
USC00047813,"SAN JACINTO, CA US",2020-01-02,,69,37,
USC00047813,"SAN JACINTO, CA US",2020-01-03,,72,40,
USC00047813,"SAN JACINTO, CA US",2020-01-04,,70,40,
USC00047813,"SAN JACINTO, CA US",2020-01-05,,69,39,
USC00047813,"SAN JACINTO, CA US",2020-01-06,,75,41,
USC00047813,"SAN JACINTO, CA US",2020-01-07,,75,40,
USC00047813,"SAN JACINTO, CA US",2020-01-08,,60,37,
USC00047813,"SAN JACINTO, CA US",2020-01-09,,55,47,
USC00047813,"SAN JACINTO, CA US",2020-01-10,,64,36,
USC00047813,"SAN JACINTO, CA US",2020-01-11,,61,35,
USC00047813,"SAN JACINTO, CA US",2020-01-12,,62,37,
USC00047813,"SAN JACINTO, CA US",2020-01-13,,60,43,
USC00047813,"SAN JACINTO, CA US",2020-01-14,,62,36,
USC00047813,"SAN JACINTO, CA US",2020-01-15,,68,35,
USC00047813,"SAN JACINTO, CA US",2020-01-16,,61,35,
USC00047813,"SAN JACINTO, CA US",2020-01-17,,59,45,
USC00047813,"SAN JACINTO, CA US",2020-01-18,,72,36,
USC00047813,"SAN JACINTO, CA US",2020-01-19,,76,39,
USC00047813,"SAN JACINTO, CA US",2020-01-20,,62,49,
USC00047813,"SAN JACINTO, CA US",2020-01-21,,55,48,
USC00047813,"SAN JACINTO, CA US",2020-01-22,,64,48,
USC00047813,"SAN JACINTO, CA US",2020-01-23,,76,40,
USC00047813,"SAN JACINTO, CA US",2020-01-24,,75,44,
USC00047813,"SAN JACINTO, CA US",2020-01-25,,76,43,
USC00047813,"SAN JACINTO, CA US",2020-01-26,,69,43,
USC00047813,"SAN JACINTO, CA US",2020-01-27,,73,41,
USC00047813,"SAN JACINTO, CA US",2020-01-28,,74,41,
USC00047813,"SAN JACINTO, CA US",2020-01-29,,69,38,
USC00047813,"SAN JACINTO, CA US",2020-01-30,,72,37,
USC00047813,"SAN JACINTO, CA US",2020-01-31,,80,39,
USC00047813,"SAN JACINTO, CA US",2020-02-01,,83,43,
USC00047813,"SAN JACINTO, CA US",2020-02-02,,74,43,
USC00047813,"SAN JACINTO, CA US",2020-02-03,,58,44,
USC00047813,"SAN JACINTO, CA US",2020-02-04,,55,28,
USC00047813,"SAN JACINTO, CA US",2020-02-05,,60,28,
USC00047813,"SAN JACINTO, CA US",2020-02-06,,68,35,
USC00047813,"SAN JACINTO, CA US",2020-02-07,,73,37,
USC00047813,"SAN JACINTO, CA US",2020-02-08,,75,39,
USC00047813,"SAN JACINTO, CA US",2020-02-09,,56,47,
USC00047813,"SAN JACINTO, CA US",2020-02-10,,65,42,
USC00047813,"SAN JACINTO, CA US",2020-02-11,,67,41,
USC00047813,"SAN JACINTO, CA US",2020-02-12,,66,36,
USC00047813,"SAN JACINTO, CA US",2020-02-13,,70,37,
USC00047813,"SAN JACINTO, CA US",2020-02-14,,71,39,
USC00047813,"SAN JACINTO, CA US",2020-02-15,,70,39,
USC00047813,"SAN JACINTO, CA US",2020-02-16,,73,41,
USC00047813,"SAN JACINTO, CA US",2020-02-17,,75,41,
USC00047813,"SAN JACINTO, CA US",2020-02-18,,77,43,
USC00047813,"SAN JACINTO, CA US",2020-02-19,,73,42,
USC00047813,"SAN JACINTO, CA US",2020-02-20,,78,43,
USC00047813,"SAN JACINTO, CA US",2020-02-21,,78,48,
USC00047813,"SAN JACINTO, CA US",2020-02-22,,58,50,
USC00047813,"SAN JACINTO, CA US",2020-02-23,,60,50,
USC00047813,"SAN JACINTO, CA US",2020-02-24,,77,40,
USC00047813,"SAN JACINTO, CA US",2020-02-25,,79,43,
USC00047813,"SAN JACINTO, CA US",2020-02-26,,77,52,
USC00047813,"SAN JACINTO, CA US",2020-02-27,,81,43,
USC00047813,"SAN JACINTO, CA US",2020-02-28,,82,51,
USC00047813,"SAN JACINTO, CA US",2020-02-29,,70,45,
USC00047813,"SAN JACINTO, CA US",2020-03-01,,58,49,
USC00047813,"SAN JACINTO, CA US",2020-03-02,,64,38,
USC00047813,"SAN JACINTO, CA US",2020-03-03,,77,40,
USC00047813,"SAN JACINTO, CA US",2020-03-04,,78,44,
USC00047813,"SAN JACINTO, CA US",2020-03-05,,82,45,
USC00047813,"SAN JACINTO, CA US",2020-03-06,,77,51,
USC00047813,"SAN JACINTO, CA US",2020-03-07,,64,49,
USC00047813,"SAN JACINTO, CA US",2020-03-08,,64,48,
USC00047813,"SAN JACINTO, CA US",2020-03-09,,71,42,
USC00047813,"SAN JACINTO, CA US",2020-03-10,,70,53,
USC00047813,"SAN JACINTO, CA US",2020-03-11,,70,48,
USC00047813,"SAN JACINTO, CA US",2020-03-12,,64,50,
USC00047813,"SAN JACINTO, CA US",2020-03-13,,54,50,
USC00047813,"SAN JACINTO, CA US",2020-03-14,,60,51,
USC00047813,"SAN JACINTO, CA US",2020-03-15,,,,
USC00047813,"SAN JACINTO, CA US",2020-03-16,,61,51,
USC00047813,"SAN JACINTO, CA US",2020-03-17,,59,45,
USC00047813,"SAN JACINTO, CA US",2020-03-18,,59,39,
USC00047813,"SAN JACINTO, CA US",2020-03-19,,53,46,
USC00047813,"SAN JACINTO, CA US",2020-03-20,,62,46,
USC00047813,"SAN JACINTO, CA US",2020-03-21,,66,46,
USC00047813,"SAN JACINTO, CA US",2020-03-22,,69,44,
USC00047813,"SAN JACINTO, CA US",2020-03-23,,61,51,
USC00047813,"SAN JACINTO, CA US",2020-03-24,,61,49,
USC00047813,"SAN JACINTO, CA US",2020-03-25,,60,49,
USC00047813,"SAN JACINTO, CA US",2020-03-26,,57,41,
USC00047813,"SAN JACINTO, CA US",2020-03-27,,62,41,
USC00047813,"SAN JACINTO, CA US",2020-03-28,,65,37,
USC00047813,"SAN JACINTO, CA US",2020-03-29,,65,37,
USC00047813,"SAN JACINTO, CA US",2020-03-30,,74,42,
USC00047813,"SAN JACINTO, CA US",2020-03-31,,78,48,
USC00047813,"SAN JACINTO, CA US",2020-04-01,,76,50,
USC00047813,"SAN JACINTO, CA US",2020-04-02,,66,54,
USC00047813,"SAN JACINTO, CA US",2020-04-03,,69,52,
USC00047813,"SAN JACINTO, CA US",2020-04-04,,68,50,
USC00047813,"SAN JACINTO, CA US",2020-04-05,,63,51,
USC00047813,"SAN JACINTO, CA US",2020-04-06,,57,49,
USC00047813,"SAN JACINTO, CA US",2020-04-07,,61,48,
USC00047813,"SAN JACINTO, CA US",2020-04-08,,50,45,
USC00047813,"SAN JACINTO, CA US",2020-04-09,,52,46,
USC00047813,"SAN JACINTO, CA US",2020-04-10,,52,46,
USC00047813,"SAN JACINTO, CA US",2020-04-11,,68,46,
USC00047813,"SAN JACINTO, CA US",2020-04-12,,58,52,
USC00047813,"SAN JACINTO, CA US",2020-04-13,,58,50,
USC00047813,"SAN JACINTO, CA US",2020-04-14,,75,47,
USC00047813,"SAN JACINTO, CA US",2020-04-15,,72,40,
USC00047813,"SAN JACINTO, CA US",2020-04-16,,76,48,
USC00047813,"SAN JACINTO, CA US",2020-04-17,,68,47,
USC00047813,"SAN JACINTO, CA US",2020-04-18,,68,47,
USC00047813,"SAN JACINTO, CA US",2020-04-19,,67,53,
USC00047813,"SAN JACINTO, CA US",2020-04-20,,67,53,
USC00047813,"SAN JACINTO, CA US",2020-04-21,,72,54,
USC00047813,"SAN JACINTO, CA US",2020-04-22,,87,50,
USC00047813,"SAN JACINTO, CA US",2020-04-23,,90,50,
USC00047813,"SAN JACINTO, CA US",2020-04-24,,94,58,
USC00047813,"SAN JACINTO, CA US",2020-04-25,,97,58,
USC00047813,"SAN JACINTO, CA US",2020-04-26,,91,59,
USC00047813,"SAN JACINTO, CA US",2020-04-27,,88,56,
USC00047813,"SAN JACINTO, CA US",2020-04-28,,95,59,
USC00047813,"SAN JACINTO, CA US",2020-04-29,,90,61,
USC00047813,"SAN JACINTO, CA US",2020-04-30,,90,61,
USC00047813,"SAN JACINTO, CA US",2020-05-01,,84,57,
USC00047813,"SAN JACINTO, CA US",2020-05-02,,83,55,
USC00047813,"SAN JACINTO, CA US",2020-05-03,,83,53,
USC00047813,"SAN JACINTO, CA US",2020-05-04,,92,53,
USC00047813,"SAN JACINTO, CA US",2020-05-05,,97,58,
USC00047813,"SAN JACINTO, CA US",2020-05-06,,99,58,
USC00047813,"SAN JACINTO, CA US",2020-05-07,,99,60,
USC00047813,"SAN JACINTO, CA US",2020-05-08,,94,59,
USC00047813,"SAN JACINTO, CA US",2020-05-09,,94,58,
USC00047813,"SAN JACINTO, CA US",2020-05-10,,86,59,
USC00047813,"SAN JACINTO, CA US",2020-05-11,,80,59,
USC00047813,"SAN JACINTO, CA US",2020-05-12,,72,56,
USC00047813,"SAN JACINTO, CA US",2020-05-13,,73,54,
USC00047813,"SAN JACINTO, CA US",2020-05-14,,78,51,
USC00047813,"SAN JACINTO, CA US",2020-05-15,,82,51,
USC00047813,"SAN JACINTO, CA US",2020-05-16,,89,58,
USC00047813,"SAN JACINTO, CA US",2020-05-17,,84,62,
USC00047813,"SAN JACINTO, CA US",2020-05-18,,75,57,
USC00047813,"SAN JACINTO, CA US",2020-05-19,,70,54,
USC00047813,"SAN JACINTO, CA US",2020-05-20,,79,46,
USC00047813,"SAN JACINTO, CA US",2020-05-21,,89,51,
USC00047813,"SAN JACINTO, CA US",2020-05-22,,81,54,
USC00047813,"SAN JACINTO, CA US",2020-05-23,,80,56,
USC00047813,"SAN JACINTO, CA US",2020-05-24,,90,53,
USC00047813,"SAN JACINTO, CA US",2020-05-25,,96,56,
USC00047813,"SAN JACINTO, CA US",2020-05-26,,99,61,
USC00047813,"SAN JACINTO, CA US",2020-05-27,,99,62,
USC00047813,"SAN JACINTO, CA US",2020-05-28,,93,62,
USC00047813,"SAN JACINTO, CA US",2020-05-29,,86,60,
USC00047813,"SAN JACINTO, CA US",2020-05-30,,81,60,
USC00047813,"SAN JACINTO, CA US",2020-05-31,,86,56,
USC00047813,"SAN JACINTO, CA US",2020-06-01,,89,57,
USC00047813,"SAN JACINTO, CA US",2020-06-02,,93,64,
USC00047813,"SAN JACINTO, CA US",2020-06-03,,102,66,
USC00047813,"SAN JACINTO, CA US",2020-06-04,,92,63,
USC00047813,"SAN JACINTO, CA US",2020-06-05,,72,60,
USC00047813,"SAN JACINTO, CA US",2020-06-06,,72,58,
USC00047813,"SAN JACINTO, CA US",2020-06-07,,77,57,
USC00047813,"SAN JACINTO, CA US",2020-06-08,,84,52,
USC00047813,"SAN JACINTO, CA US",2020-06-09,,95,53,
USC00047813,"SAN JACINTO, CA US",2020-06-10,,100,59,
USC00047813,"SAN JACINTO, CA US",2020-06-11,,97,61,
USC00047813,"SAN JACINTO, CA US",2020-06-12,,88,57,
USC00047813,"SAN JACINTO, CA US",2020-06-13,,84,53,
USC00047813,"SAN JACINTO, CA US",2020-06-14,,86,54,
USC00047813,"SAN JACINTO, CA US",2020-06-15,,91,59,
USC00047813,"SAN JACINTO, CA US",2020-06-16,,85,58,
USC00047813,"SAN JACINTO, CA US",2020-06-17,,80,59,
USC00047813,"SAN JACINTO, CA US",2020-06-18,,83,55,
