STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-01,52,63,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-02,53,65,42,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-03,59,70,51,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-04,57,69,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-05,57,68,49,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-06,61,72,54,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-07,59,75,50,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-08,49,56,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-09,47,52,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-10,49,62,40,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-11,49,57,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-12,48,60,40,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-13,49,60,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-14,49,59,42,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-15,51,63,39,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-16,47,55,44,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-17,49,58,44,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-18,55,67,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-19,62,74,52,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-20,54,60,47,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-21,48,51,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-22,51,61,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-23,60,73,50,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-24,59,70,52,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-25,59,71,50,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-26,51,57,47,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-27,56,70,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-28,59,71,50,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-29,56,64,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-30,58,70,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-01-31,63,76,56,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-01,67,80,57,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-02,58,69,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-03,47,54,41,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-04,43,52,35,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-05,45,57,34,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-06,50,62,41,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-07,55,66,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-08,55,69,46,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-09,46,47,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-10,52,62,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-11,55,65,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-12,51,61,44,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-13,54,67,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-14,54,67,46,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-15,56,67,47,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-16,57,68,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-17,57,67,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-18,56,70,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-19,55,67,46,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-20,63,75,53,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-21,62,74,50,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-22,49,52,46,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-23,51,61,47,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-24,56,70,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-25,64,76,53,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-26,62,72,54,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-27,65,77,54,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-28,67,81,57,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-02-29,56,66,47,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-01,47,51,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-02,51,61,40,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-03,61,75,53,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-04,58,68,50,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-05,64,80,49,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-06,59,70,49,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-07,50,58,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-08,50,60,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-09,54,69,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-10,55,61,50,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-11,57,67,52,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-12,51,54,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-13,49,50,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-14,51,55,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-15,50,56,46,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-16,49,56,46,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-17,47,56,42,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-18,43,50,39,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-19,47,53,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-20,50,59,44,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-21,52,62,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-22,53,65,45,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-23,51,59,46,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-24,50,59,44,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-25,49,59,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-26,46,54,40,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-27,47,57,39,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-28,49,60,40,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-29,51,63,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-30,56,71,42,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-03-31,61,72,52,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-01,58,68,50,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-02,53,62,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-03,53,63,46,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-04,52,62,47,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-05,49,55,47,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-06,49,50,48,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-07,49,57,46,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-08,47,53,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-09,45,47,43,
USR0000CSRO,"SANTA ROSA PLATEAU CALIFORNIA, CA US",2020-04-10,46,47,44,
