DATE,TAVG,TMAX,TMIN,TOBS
2020-01-01,48.1111,61.7917,37.375,45.1667
2020-01-02,50.3333,65.5,37.5,54.5
2020-01-03,53.6667,67.0435,41.4348,49.6
2020-01-04,52.3333,67.3478,39.1304,45.4
2020-01-05,53.1111,68.087,38.6957,50.0
2020-01-06,55.0,70.0417,44.0,56.5
2020-01-07,53.8889,70.4783,40.3913,50.8
2020-01-08,48.1111,61.2917,36.3333,43.8333
2020-01-09,43.5556,56.4167,38.9167,42.5
2020-01-10,45.8889,61.3913,35.3043,48.2
2020-01-11,46.2222,59.25,35.375,43.5
2020-01-12,45.2222,60.1667,35.5417,46.3333
2020-01-13,46.3333,60.5,37.4583,44.1667
2020-01-14,46.8889,61.75,35.7083,45.8333
2020-01-15,48.7778,65.4167,36.9167,46.1667
2020-01-16,47.2222,61.2917,36.0417,46.1667
2020-01-17,46.3333,59.9583,39.7083,49.1667
2020-01-18,50.8889,65.875,38.5417,48.6667
2020-01-19,57.1111,71.1667,43.8333,51.3333
2020-01-20,53.1111,63.3333,47.0,50.6667
2020-01-21,47.0,57.0417,45.5417,50.3333
2020-01-22,49.0,62.4783,41.6957,48.75
2020-01-23,55.7778,70.7083,42.5417,54.8
2020-01-24,55.1111,71.1667,43.4583,54.2
2020-01-25,55.4444,71.8333,42.2917,49.6
2020-01-26,51.6667,65.3333,41.9583,50.2
2020-01-27,53.7778,70.5,41.4583,55.8
2020-01-28,55.0,70.8261,42.3043,54.6
2020-01-29,52.8889,66.4348,41.0455,51.0
2020-01-30,55.0,69.2174,41.7826,56.25
2020-01-31,59.0,73.3182,44.4545,54.0
2020-02-01,61.3333,77.1739,45.0435,52.5
2020-02-02,56.8889,72.2174,42.0,43.6667
2020-02-03,43.6667,56.8696,40.7273,52.3333
2020-02-04,39.3333,52.0,33.375,37.5
2020-02-05,42.7778,56.7083,30.1667,42.8333
2020-02-06,48.5556,63.875,34.0,46.3333
2020-02-07,53.5556,68.7083,38.0,48.0
2020-02-08,54.8889,70.4167,39.087,51.5
2020-02-09,46.0,58.625,40.4583,46.1667
2020-02-10,49.8889,62.6087,42.2609,47.0
2020-02-11,50.3333,62.9167,40.75,48.8
2020-02-12,47.5556,63.0833,34.4167,44.2
2020-02-13,50.1111,67.0833,35.9167,44.2
2020-02-14,51.2222,67.3333,38.125,47.0
2020-02-15,52.0,68.7083,37.7083,47.3333
2020-02-16,55.0,70.4167,41.4583,50.6667
2020-02-17,56.0,72.625,42.125,55.3333
2020-02-18,55.4444,72.4583,42.6522,55.0
2020-02-19,54.1111,70.7826,43.1304,52.2
2020-02-20,58.3333,74.0,43.5217,53.3333
2020-02-21,60.0,75.25,44.913,51.6667
2020-02-22,48.5556,61.1667,46.6957,51.0
2020-02-23,49.8889,63.2917,44.1739,51.6667
2020-02-24,55.0,73.5833,40.6087,54.5
2020-02-25,58.7778,74.0417,44.7917,60.0
2020-02-26,56.2222,70.9583,44.7083,48.8333
2020-02-27,59.8889,75.1304,43.1304,50.4
2020-02-28,61.8889,77.913,48.3913,55.0
2020-02-29,55.0,71.1304,43.2174,48.4
2020-03-01,46.4444,60.087,42.087,46.6
2020-03-02,48.0,61.2609,39.7391,46.6667
2020-03-03,57.8889,72.6957,46.5652,57.6667
2020-03-04,57.2222,72.6522,43.913,54.0
2020-03-05,60.5556,77.5833,44.3043,55.6667
2020-03-06,59.4444,76.0435,45.4348,54.4
2020-03-07,50.8889,66.6667,46.4783,53.0
2020-03-08,50.0,64.875,44.5833,48.6667
2020-03-09,53.4444,69.1667,41.5652,50.3333
2020-03-10,52.7778,62.9167,49.6087,50.1667
2020-03-11,56.0,66.8333,48.9167,53.3333
2020-03-12,50.0,59.6667,47.5217,52.5
2020-03-13,48.0,55.7083,44.875,47.1667
2020-03-14,49.7778,59.913,46.4348,47.0
2020-03-15,49.6667,61.0435,44.6364,47.0
2020-03-16,48.3333,60.8333,43.875,46.1667
2020-03-17,45.6667,58.0417,41.9167,47.1667
2020-03-18,41.4444,53.0417,38.5,43.3333
2020-03-19,44.1111,54.5,40.375,41.6667
2020-03-20,47.7778,59.25,41.0833,41.5
2020-03-21,50.1111,63.4583,41.7083,47.0
2020-03-22,52.2222,67.0417,43.2917,49.5
2020-03-23,50.2222,62.75,46.2083,53.1667
2020-03-24,49.7778,63.75,43.5417,47.5
2020-03-25,48.5556,62.5833,45.25,50.6667
2020-03-26,44.5556,58.1667,40.75,44.8333
2020-03-27,45.0,60.0833,38.5417,44.1667
2020-03-28,48.4444,63.7083,38.5,46.1667
2020-03-29,49.6667,64.9167,39.625,46.6667
2020-03-30,55.2222,72.0,41.3333,54.0
2020-03-31,59.1111,74.4348,47.2174,52.0
2020-04-01,60.1111,74.8261,48.6957,58.2
