Start,End,Duration,Avg_TAVG,Avg_TMAX,Avg_TMIN
2022-08-31,2022-09-07,8,88.3472125,103.88556249999999,76.04057499999999
2020-08-17,2020-08-20,4,87.94445,105.66185,77.03654999999999
2020-09-04,2020-09-06,3,90.92593333333333,110.01209999999999,74.13510000000001
2020-07-30,2020-08-01,3,87.96296666666666,105.22886666666666,73.65216666666667
2021-06-15,2021-06-17,3,87.04166666666667,104.36233333333332,71.4203
2023-07-25,2023-07-27,3,86.88886666666667,104.19803333333334,73.72160000000001
2023-08-28,2023-08-30,3,86.74073333333335,104.71213333333333,73.83333333333333
2023-07-15,2023-07-17,3,86.74073333333332,103.29166666666667,73.88889999999999
2020-08-14,2020-08-15,2,89.0,107.5,76.86955
2020-07-11,2020-07-12,2,87.1111,105.4773,73.72725
2021-08-03,2021-08-04,2,87.0,104.89675,72.5779
2023-07-20,2023-07-20,1,86.4444,103.9565,72.8261
2022-07-16,2022-07-16,1,86.3333,102.0417,73.1667
2023-07-29,2023-07-29,1,86.3333,103.3333,74.75
2021-08-27,2021-08-27,1,86.2222,104.5909,71.2727
2023-07-22,2023-07-22,1,86.1111,103.0,73.1667
2021-06-27,2021-06-27,1,86.0,103.3333,69.9583
