STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-08,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-09,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-10,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-11,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-12,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-13,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-14,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-15,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-16,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-17,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-18,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-19,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-20,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-21,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-22,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-23,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-24,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-25,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-26,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-27,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-28,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-29,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-30,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-10-31,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-01,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-02,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-03,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-04,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-05,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-06,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-07,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-08,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-09,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-10,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-11,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-12,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-13,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-14,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-15,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-16,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-17,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-18,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-19,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-20,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-21,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-22,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-23,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-24,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-25,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-26,,,,
US1CARV0095,"BEAUMONT 1.9 ESE, CA US",2023-11-27,,,,
