STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-06-24,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-06-27,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-06-28,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-06-29,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-06-30,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-02,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-03,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-04,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-05,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-06,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-07,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-08,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-09,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-10,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-11,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-14,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-15,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-16,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-17,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-18,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-19,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-20,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-21,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-22,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-24,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-25,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-26,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-29,,,,
US1CARV0076,"BLYTHE 2.1 W, CA US",2020-07-30,,,,
