STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-20,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-22,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-23,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-24,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-25,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-28,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-29,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-30,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-03-31,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-02,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-03,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-04,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-05,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-06,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-07,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-08,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-09,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-10,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-11,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-12,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-13,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-14,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-15,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-17,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-18,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-19,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-20,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-22,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-23,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-24,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-25,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-26,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-27,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-28,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-29,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-04-30,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-02,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-03,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-04,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-05,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-06,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-07,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-08,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-09,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-10,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-11,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-12,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-13,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-14,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-15,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-17,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-18,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-19,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-20,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-22,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-23,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-24,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-25,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-26,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-27,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-28,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-29,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-30,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-05-31,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-02,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-03,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-04,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-05,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-06,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-07,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-08,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-09,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-10,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-11,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-12,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-13,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-14,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-15,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-17,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-18,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-19,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-20,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-22,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-23,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-24,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-06-25,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-07-28,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-08-10,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-08-14,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-08-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-08-20,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-08-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-09-02,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-09-10,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-09-17,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-09-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-09-22,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-10-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-10-11,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-10-25,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-10-26,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-11-15,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-11-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-11-17,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-11-18,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-11-19,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-11-24,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-11-25,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-11-30,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-12-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-12-19,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-12-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-12-22,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-12-23,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-12-25,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2023-12-31,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-01-03,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-01-04,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-01-07,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-01-11,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-01-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-01-22,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-01-23,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-01-24,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-01-25,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-02,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-03,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-04,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-05,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-06,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-07,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-08,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-09,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-10,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-19,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-20,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-22,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-23,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-02-27,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-02,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-03,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-04,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-07,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-08,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-15,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-24,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-30,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-03-31,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-04-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-04-06,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-04-14,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-04-15,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-04-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-04-23,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-04-26,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-04-27,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-05-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-05-05,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-05-25,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-06-01,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-09-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-09-21,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-10-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-10-18,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-11-03,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-11-16,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-11-24,,,,
US1CARV0088,"CHERRY VALLEY 0.8 ESE, CA US",2024-12-25,,,,
