STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0089,"HEMET 3.0 NE, CA US",2023-04-28,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-04-29,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-04-30,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-01,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-02,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-03,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-04,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-05,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-06,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-07,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-08,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-10,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-11,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-12,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-14,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-15,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-16,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-18,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-19,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-20,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-21,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-22,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-23,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-25,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-26,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-27,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-28,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-29,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-30,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-05-31,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-01,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-02,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-03,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-04,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-05,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-07,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-09,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-10,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-11,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-12,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-13,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-14,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-15,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-16,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-17,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-18,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-19,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-21,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-24,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-25,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-28,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-29,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-06-30,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-07-06,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-07-12,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-07-13,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-07-30,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-07-31,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-08-01,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-08-02,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-08-03,,,,
US1CARV0089,"HEMET 3.0 NE, CA US",2023-08-04,,,,
