STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00043896,"HEMET, CA US",2020-01-01,,64,44,
USC00043896,"HEMET, CA US",2020-01-02,,67,42,
USC00043896,"HEMET, CA US",2020-01-03,,72,48,
USC00043896,"HEMET, CA US",2020-01-04,,70,48,
USC00043896,"HEMET, CA US",2020-01-05,,71,45,
USC00043896,"HEMET, CA US",2020-01-06,,73,47,
USC00043896,"HEMET, CA US",2020-01-07,,75,52,
USC00043896,"HEMET, CA US",2020-01-08,,61,43,
USC00043896,"HEMET, CA US",2020-01-09,,51,42,
USC00043896,"HEMET, CA US",2020-01-10,,63,38,
USC00043896,"HEMET, CA US",2020-01-11,,61,41,
USC00043896,"HEMET, CA US",2020-01-12,,62,37,
USC00043896,"HEMET, CA US",2020-01-13,,61,40,
USC00043896,"HEMET, CA US",2020-01-14,,62,39,
USC00043896,"HEMET, CA US",2020-01-15,,67,41,
USC00043896,"HEMET, CA US",2020-01-16,,62,43,
USC00043896,"HEMET, CA US",2020-01-17,,59,43,
USC00043896,"HEMET, CA US",2020-01-18,,72,44,
USC00043896,"HEMET, CA US",2020-01-19,,77,50,
USC00043896,"HEMET, CA US",2020-01-20,,64,50,
USC00043896,"HEMET, CA US",2020-01-21,,53,46,
USC00043896,"HEMET, CA US",2020-01-22,,63,45,
USC00043896,"HEMET, CA US",2020-01-23,,74,47,
USC00043896,"HEMET, CA US",2020-01-24,,75,50,
USC00043896,"HEMET, CA US",2020-01-25,,75,49,
USC00043896,"HEMET, CA US",2020-01-26,,68,47,
USC00043896,"HEMET, CA US",2020-01-27,,73,42,
USC00043896,"HEMET, CA US",2020-01-28,,73,51,
USC00043896,"HEMET, CA US",2020-01-29,,68,45,
USC00043896,"HEMET, CA US",2020-01-30,,71,45,
USC00043896,"HEMET, CA US",2020-01-31,,79,49,
USC00043896,"HEMET, CA US",2020-02-01,,82,55,
USC00043896,"HEMET, CA US",2020-02-02,,73,48,
USC00043896,"HEMET, CA US",2020-02-03,,53,38,
USC00043896,"HEMET, CA US",2020-02-04,,56,31,
USC00043896,"HEMET, CA US",2020-02-05,,60,33,
USC00043896,"HEMET, CA US",2020-02-06,,67,39,
USC00043896,"HEMET, CA US",2020-02-07,,73,44,
USC00043896,"HEMET, CA US",2020-02-08,,75,47,
USC00043896,"HEMET, CA US",2020-02-09,,56,42,
USC00043896,"HEMET, CA US",2020-02-10,,63,41,
USC00043896,"HEMET, CA US",2020-02-11,,66,44,
USC00043896,"HEMET, CA US",2020-02-12,,65,41,
USC00043896,"HEMET, CA US",2020-02-13,,71,42,
USC00043896,"HEMET, CA US",2020-02-14,,70,45,
USC00043896,"HEMET, CA US",2020-02-15,,71,45,
USC00043896,"HEMET, CA US",2020-02-16,,73,47,
USC00043896,"HEMET, CA US",2020-02-17,,74,46,
USC00043896,"HEMET, CA US",2020-02-18,,76,49,
USC00043896,"HEMET, CA US",2020-02-19,,73,44,
USC00043896,"HEMET, CA US",2020-02-20,,67,52,
USC00043896,"HEMET, CA US",2020-02-21,,80,56,
USC00043896,"HEMET, CA US",2020-02-22,,57,45,
USC00043896,"HEMET, CA US",2020-02-23,,63,47,
USC00043896,"HEMET, CA US",2020-02-24,,76,43,
USC00043896,"HEMET, CA US",2020-02-25,,79,52,
USC00043896,"HEMET, CA US",2020-02-26,,77,48,
USC00043896,"HEMET, CA US",2020-02-27,,79,53,
USC00043896,"HEMET, CA US",2020-02-28,,81,57,
USC00043896,"HEMET, CA US",2020-02-29,,70,48,
USC00043896,"HEMET, CA US",2020-03-01,,56,44,
USC00043896,"HEMET, CA US",2020-03-02,,65,37,
USC00043896,"HEMET, CA US",2020-03-03,,78,45,
USC00043896,"HEMET, CA US",2020-03-04,,78,51,
USC00043896,"HEMET, CA US",2020-03-05,,83,49,
USC00043896,"HEMET, CA US",2020-03-06,,76,51,
USC00043896,"HEMET, CA US",2020-03-07,,63,46,
USC00043896,"HEMET, CA US",2020-03-08,,64,44,
USC00043896,"HEMET, CA US",2020-03-09,,73,43,
USC00043896,"HEMET, CA US",2020-03-10,,70,50,
USC00043896,"HEMET, CA US",2020-03-11,,71,49,
USC00043896,"HEMET, CA US",2020-03-12,,59,47,
USC00043896,"HEMET, CA US",2020-03-13,,51,47,
USC00043896,"HEMET, CA US",2020-03-14,,55,48,
USC00043896,"HEMET, CA US",2020-03-15,,60,46,
USC00043896,"HEMET, CA US",2020-03-16,,60,44,
USC00043896,"HEMET, CA US",2020-03-17,,58,42,
USC00043896,"HEMET, CA US",2020-03-18,,50,38,
USC00043896,"HEMET, CA US",2020-03-19,,54,43,
USC00043896,"HEMET, CA US",2020-03-20,,61,42,
USC00043896,"HEMET, CA US",2020-03-21,,65,43,
USC00043896,"HEMET, CA US",2020-03-22,,68,43,
USC00043896,"HEMET, CA US",2020-03-23,,60,48,
USC00043896,"HEMET, CA US",2020-03-24,,64,45,
USC00043896,"HEMET, CA US",2020-03-25,,60,46,
USC00043896,"HEMET, CA US",2020-03-26,,57,39,
USC00043896,"HEMET, CA US",2020-03-27,,61,38,
USC00043896,"HEMET, CA US",2020-03-28,,65,39,
USC00043896,"HEMET, CA US",2020-03-29,,64,41,
USC00043896,"HEMET, CA US",2020-03-30,,75,42,
USC00043896,"HEMET, CA US",2020-03-31,,76,51,
USC00043896,"HEMET, CA US",2020-04-01,,75,52,
USC00043896,"HEMET, CA US",2020-04-02,,69,50,
USC00043896,"HEMET, CA US",2020-04-03,,69,50,
USC00043896,"HEMET, CA US",2020-04-04,,67,48,
USC00043896,"HEMET, CA US",2020-04-05,,63,48,
USC00043896,"HEMET, CA US",2020-04-06,,57,47,
USC00043896,"HEMET, CA US",2020-04-07,,56,48,
USC00043896,"HEMET, CA US",2020-04-08,,51,43,
USC00043896,"HEMET, CA US",2020-04-09,,52,43,
USC00043896,"HEMET, CA US",2020-04-10,,49,44,
USC00043896,"HEMET, CA US",2020-04-11,,67,45,
USC00043896,"HEMET, CA US",2020-04-12,,54,49,
USC00043896,"HEMET, CA US",2020-04-13,,56,48,
USC00043896,"HEMET, CA US",2020-04-14,,76,45,
USC00043896,"HEMET, CA US",2020-04-15,,80,50,
USC00043896,"HEMET, CA US",2020-04-16,,75,50,
USC00043896,"HEMET, CA US",2020-04-17,,67,48,
USC00043896,"HEMET, CA US",2020-04-18,,60,49,
USC00043896,"HEMET, CA US",2020-04-19,,70,50,
USC00043896,"HEMET, CA US",2020-04-20,,70,51,
USC00043896,"HEMET, CA US",2020-04-21,,73,51,
USC00043896,"HEMET, CA US",2020-04-22,,87,51,
USC00043896,"HEMET, CA US",2020-04-23,,89,59,
USC00043896,"HEMET, CA US",2020-04-24,,94,62,
USC00043896,"HEMET, CA US",2020-04-25,,94,66,
USC00043896,"HEMET, CA US",2020-04-26,,89,63,
USC00043896,"HEMET, CA US",2020-04-27,,86,59,
USC00043896,"HEMET, CA US",2020-04-28,,95,61,
USC00043896,"HEMET, CA US",2020-04-29,,91,63,
USC00043896,"HEMET, CA US",2020-04-30,,88,58,
USC00043896,"HEMET, CA US",2020-05-01,,84,57,
USC00043896,"HEMET, CA US",2020-05-02,,82,53,
USC00043896,"HEMET, CA US",2020-05-03,,82,53,
USC00043896,"HEMET, CA US",2020-05-04,,90,54,
USC00043896,"HEMET, CA US",2020-05-05,,94,63,
USC00043896,"HEMET, CA US",2020-05-06,,97,64,
USC00043896,"HEMET, CA US",2020-05-07,,96,65,
USC00043896,"HEMET, CA US",2020-05-08,,92,63,
USC00043896,"HEMET, CA US",2020-05-09,,91,60,
USC00043896,"HEMET, CA US",2020-05-10,,85,59,
USC00043896,"HEMET, CA US",2020-05-11,,82,53,
USC00043896,"HEMET, CA US",2020-05-12,,72,55,
USC00043896,"HEMET, CA US",2020-05-13,,73,51,
USC00043896,"HEMET, CA US",2020-05-14,,78,50,
USC00043896,"HEMET, CA US",2020-05-15,,83,53,
USC00043896,"HEMET, CA US",2020-05-16,,89,57,
USC00043896,"HEMET, CA US",2020-05-17,,83,58,
USC00043896,"HEMET, CA US",2020-05-18,,76,53,
USC00043896,"HEMET, CA US",2020-05-19,,69,51,
USC00043896,"HEMET, CA US",2020-05-20,,80,45,
USC00043896,"HEMET, CA US",2020-05-21,,87,52,
USC00043896,"HEMET, CA US",2020-05-22,,81,53,
USC00043896,"HEMET, CA US",2020-05-23,,80,53,
USC00043896,"HEMET, CA US",2020-05-24,,89,53,
USC00043896,"HEMET, CA US",2020-05-25,,95,60,
USC00043896,"HEMET, CA US",2020-05-26,,98,65,
USC00043896,"HEMET, CA US",2020-05-27,,99,66,
USC00043896,"HEMET, CA US",2020-05-28,,94,62,
USC00043896,"HEMET, CA US",2020-05-29,,85,58,
USC00043896,"HEMET, CA US",2020-05-30,,82,58,
USC00043896,"HEMET, CA US",2020-05-31,,87,55,
USC00043896,"HEMET, CA US",2020-06-01,,90,58,
USC00043896,"HEMET, CA US",2020-06-02,,92,64,
USC00043896,"HEMET, CA US",2020-06-03,,100,67,
USC00043896,"HEMET, CA US",2020-06-04,,92,63,
