STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-01-10,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-02-02,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-02-03,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-03-10,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-03-15,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-04-06,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-04-07,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-04-08,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-04-09,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2020-06-05,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2021-03-10,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2021-03-12,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2021-03-14,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2021-07-26,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2021-12-15,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-01-05,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-01-10,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-01-11,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-01-29,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-02-23,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-03-12,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-03-15,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-03-20,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-03-21,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-03-22,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-03-29,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-03-30,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-05-04,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-05-05,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-08-20,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2023-08-21,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-01-03,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-01-07,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-01-22,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-01-23,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-01-24,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-02-01,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-02-02,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-02-06,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-02-07,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-02-20,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-02-21,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-03-03,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-03-07,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-03-16,,,,
US1CARV0010,"HOMELAND 1.7 NNE, CA US",2024-03-31,,,,
