STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-02-20,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-02-21,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-02-22,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-02-23,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-02-24,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-02-25,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-02-26,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-02-27,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-02-28,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-03,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-06,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-07,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-08,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-10,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-14,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-15,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-16,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-17,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-18,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-19,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-20,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-21,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-22,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-23,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-24,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-25,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-26,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-27,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-28,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-29,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-30,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-03-31,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-01,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-02,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-03,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-04,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-05,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-06,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-07,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-08,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-09,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-10,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-11,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-12,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-13,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-14,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-15,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-16,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-17,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-18,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-19,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-20,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-21,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-22,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-23,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-24,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-25,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-26,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-27,,,,
US1CARV0098,"LA QUINTA 1.8 SW, CA US",2024-04-29,,,,
