STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0028,"NORCO 1.7 W, CA US",2020-01-17,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-01-21,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-02-10,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-02,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-10,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-11,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-12,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-13,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-14,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-17,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-20,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-23,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-03-24,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-04-06,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-04-07,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-04-08,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-04-09,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-04-10,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-04-11,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-04-12,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-05-19,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-07-18,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-09-20,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-10-16,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-10-26,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-11-07,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-11-08,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-11-09,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-11-30,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-12-18,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-12-28,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2020-12-29,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-01-23,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-01-24,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-01-25,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-01-29,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-01-30,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-03-04,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-03-10,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-03-11,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-03-13,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-03-15,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-03-16,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-04-27,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-07-26,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-09-23,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-09-25,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-10-05,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-10-08,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-10-26,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-05,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-07,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-09,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-10,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-14,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-15,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-23,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-24,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-25,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-26,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-28,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-29,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-30,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2021-12-31,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-01-17,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-01-18,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-02-16,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-02-23,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-03-04,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-03-05,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-03-20,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-03-29,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-04-12,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-04-22,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-06-23,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-09-08,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-09-10,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-09-12,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-10-16,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-11-02,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-11-07,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-11-08,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-11-09,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-12-02,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-12-03,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-12-05,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-12-06,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-12-11,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-12-12,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-12-28,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2022-12-31,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-01,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-02,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-03,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-04,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-05,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-06,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-10,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-11,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-15,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-16,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-17,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-01-30,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-02-14,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-02-15,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-02-22,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-02-23,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-02-24,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-02-25,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-02-26,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-02-28,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-02,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-06,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-10,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-11,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-15,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-16,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-20,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-21,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-22,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-24,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-29,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-03-30,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-04-13,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-05-01,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-05-04,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-05-05,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-08-20,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-08-21,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-09-10,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-10-11,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-11-16,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-12-19,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-12-20,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-12-21,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-12-22,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-12-23,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2023-12-30,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-01-03,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-01-07,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-01-21,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-01-22,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-01-23,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-01-24,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-01,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-02,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-04,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-05,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-06,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-07,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-08,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-09,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-18,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-20,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-21,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-02-27,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-03-02,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-03-03,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-03-07,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-03-08,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-03-19,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-03-24,,,,
US1CARV0028,"NORCO 1.7 W, CA US",2024-03-25,,,,
