STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-10,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-11,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-12,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-13,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-14,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-15,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-16,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-17,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-18,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-19,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-20,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-21,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-22,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-23,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-24,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-25,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-26,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-27,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-28,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-29,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-09-30,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-01,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-02,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-03,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-04,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-05,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-06,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-07,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-08,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-09,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-10,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-11,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-12,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-13,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-14,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-15,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-16,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-17,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-18,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-19,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-20,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-21,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-22,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-23,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-24,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-25,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-26,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-27,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-28,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-29,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-30,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-10-31,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-01,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-02,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-03,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-04,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-05,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-06,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-07,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-08,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-09,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-10,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-11,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-12,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-13,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-14,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-15,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-16,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-17,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-18,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-19,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-20,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-21,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-22,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-23,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-24,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-25,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-26,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-27,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-28,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-29,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-11-30,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-01,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-02,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-03,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-04,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-05,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-06,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-07,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-08,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-09,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-10,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-11,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-12,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-13,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-14,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-15,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-16,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-17,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-18,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-19,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-20,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-21,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-22,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-23,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-24,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-25,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-26,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-27,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-28,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2022-12-29,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-01,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-02,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-03,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-04,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-05,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-06,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-07,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-08,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-09,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-10,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-11,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-12,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-13,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-14,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-15,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-16,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-17,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-18,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-19,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-20,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-21,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-22,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-23,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-24,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-25,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-26,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-01-27,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-02-15,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-02-21,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-02-24,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-02-25,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-02-26,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-02-27,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-02-28,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-03-01,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-03-02,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-03-03,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-03-04,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-03-11,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-03-15,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-03-21,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-03-22,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-08-01,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-08-02,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-08-14,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-08-20,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-08-21,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-11-16,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2023-12-22,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-01-04,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-01-07,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-01-21,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-01-22,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-02-02,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-02-06,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-02-07,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-02-08,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-03-31,,,,
US1CARV0086,"PALM SPRINGS 1.2 NW, CA US",2024-04-01,,,,
