STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-01,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-02,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-03,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-04,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-05,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-06,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-07,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-08,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-09,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-10,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-11,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-12,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-13,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-14,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-15,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-16,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-17,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-18,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-19,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-20,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-21,,,,
US1CARV0066,"RANCHO MIRAGE 3.0 NNW, CA US",2020-01-22,,,,
