STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-01-17,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-01-21,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-02-10,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-02-23,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-02,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-10,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-11,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-13,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-14,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-15,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-17,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-20,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-23,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-03-24,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-04-06,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-04-07,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-04-08,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-04-09,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-04-10,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-04-11,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-04-13,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-04-18,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-05-19,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-06-06,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-10-26,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-11-07,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-11-08,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-11-11,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-12-28,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2020-12-29,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-01-23,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-01-25,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-01-26,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-01-29,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-01-30,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-02-12,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-02-13,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-03-04,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-03-10,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-03-11,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-03-13,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-03-16,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-04-01,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-04-02,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-04-28,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-07-26,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-07-27,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-08-11,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-09-01,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-09-25,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-10-05,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-10-08,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-10-23,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-10-26,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-07,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-08,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-09,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-10,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-14,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-15,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-24,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-25,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-26,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-28,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-29,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-30,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2021-12-31,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-01-17,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-01-18,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-02-23,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-02-24,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-03-04,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-03-05,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-03-20,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-03-29,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-03-31,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-04-02,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-04-12,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-04-22,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-05-08,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-05-20,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-06-23,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-08-01,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-09-03,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-09-08,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-09-09,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-09-10,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-09-12,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-10-12,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-10-16,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-11-02,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-11-03,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-11-09,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-12-02,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-12-05,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-12-12,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-12-13,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2022-12-28,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2023-01-01,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2023-01-02,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2023-01-03,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2023-01-04,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2023-01-05,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2023-01-06,,,,
US1CARV0019,"RIVERSIDE 3.8 NW, CA US",2023-01-10,,,,
