STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-01,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-02,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-03,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-04,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-05,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-06,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-07,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-08,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-09,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-10,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-11,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-12,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-13,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-14,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-15,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-16,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-17,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-18,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-19,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-20,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-21,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-22,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-23,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-24,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-25,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-26,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-28,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-29,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-30,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-05-31,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-01,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-02,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-03,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-04,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-05,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-06,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-07,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-08,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-09,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-10,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-11,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-12,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-13,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-15,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-16,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-17,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-19,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-20,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-21,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-22,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-23,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-24,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-25,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-26,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-27,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-28,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-29,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-06-30,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-01,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-02,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-03,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-05,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-06,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-07,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-08,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-09,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-10,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-11,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-12,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-13,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-14,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-15,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-16,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-18,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-19,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-20,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-21,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-22,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-23,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-25,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-26,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-27,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-28,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-29,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-30,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-07-31,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-01,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-02,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-03,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-15,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-16,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-17,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-18,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-19,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-20,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-21,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-22,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-23,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-24,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-26,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-27,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-28,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-30,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-08-31,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-01,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-02,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-03,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-04,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-05,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-06,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-07,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-08,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-09,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-10,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-11,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-12,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-13,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-14,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-15,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-17,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-18,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-19,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-20,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-21,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-22,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-23,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-24,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-25,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-26,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-27,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-28,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-29,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-09-30,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-10-01,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-10-02,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-10-03,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-10-04,,,,
US1CARV0091,"SAN JACINTO 1.9 SE, CA US",2023-10-05,,,,
