STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-01-13,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-01-20,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-02-28,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-03-10,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-03-12,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-03-15,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-03-16,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-03-17,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-03-18,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-03-19,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-03-22,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-04-08,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-04-10,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-04-11,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-12-28,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2020-12-29,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-01-23,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-01-25,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-02-12,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-03-04,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-03-10,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-03-11,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-03-12,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-03-13,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-03-16,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-03-26,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-04-26,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-04-27,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-07-26,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-10-05,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-10-08,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-10-26,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-12-10,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-12-14,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-12-15,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-12-23,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-12-24,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-12-26,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-12-28,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-12-29,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2021-12-31,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-01-01,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-02-16,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-02-23,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-03-04,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-03-05,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-03-06,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-03-20,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-03-29,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-04-22,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-10-09,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-10-16,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-11-08,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-11-09,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-12-02,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-12-11,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-12-12,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-12-28,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2022-12-31,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-01,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-02,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-03,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-04,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-05,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-06,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-10,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-11,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-15,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-16,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-17,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-29,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-30,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-01-31,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-02-15,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-02-22,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-02-23,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-02-24,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-02-25,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-02-26,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-02-28,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-03-01,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-03-11,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-03-12,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-03-15,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-03-20,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-03-22,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-03-23,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-03-30,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-03-31,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-04-13,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-05-04,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-05-05,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-05-31,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-08-21,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-09-02,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-10-01,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-11-16,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-11-24,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-12-01,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-12-19,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-12-20,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-12-21,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-12-22,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-12-30,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2023-12-31,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-01-03,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-01-07,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-01-21,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-01-22,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-01,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-02,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-03,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-04,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-05,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-06,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-07,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-08,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-09,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-10,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-20,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-02-21,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-02,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-03,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-04,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-08,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-16,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-18,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-19,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-24,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-30,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-03-31,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-04-01,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-04-05,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-04-14,,,,
US1CARV0064,"WILDOMAR 1.9 NE, CA US",2024-05-05,,,,
