STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-01-17,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-01-21,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-02-09,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-02-10,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-02-23,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-02-24,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-08,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-10,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-11,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-12,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-13,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-14,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-15,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-17,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-19,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-20,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-21,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-23,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-24,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-26,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-03-27,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-04,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-06,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-07,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-08,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-09,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-10,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-11,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-12,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-13,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-14,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-18,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-04-19,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-05-19,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-06-06,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-11-08,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-11-09,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-12-25,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-12-28,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2020-12-29,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-01-23,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-01-24,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-01-25,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-01-26,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-01-29,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-01-30,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-02-12,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-02-13,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-03-04,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-03-10,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-03-11,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-03-13,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-03-15,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-03-16,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-04-13,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-04-14,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-04-22,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-04-24,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-04-25,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-04-26,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-05-16,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-05-17,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-05-18,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-05-21,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-07-26,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-07-27,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-10-05,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-10-06,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-10-07,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-10-08,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-10-12,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-10-19,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-10-24,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-10-26,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-07,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-10,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-14,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-15,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-24,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-25,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-26,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-28,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-29,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2021-12-30,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-01-01,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-01-18,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-02-16,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-02-21,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-02-22,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-02-23,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-02-24,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-03-04,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-03-05,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-03-06,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-03-20,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-03-29,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-03-31,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-04-01,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-04-03,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-04-04,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-04-11,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-04-21,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-04-22,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-05-08,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-05-09,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-05-20,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-05-21,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-06-22,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-08-01,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-09-08,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-09-10,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-09-11,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-09-12,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-09-29,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-10-09,,,,
US1CARV0039,"YUCAIPA 4.1 SE, CA US",2022-10-16,,,,
