start,end,count
2020-01-01,2020-04-22,113
2020-04-22,2020-04-22,1
2020-04-22,2020-04-22,1
2020-04-22,2020-04-23,2
2020-04-23,2020-04-23,1
2020-04-23,2020-04-23,1
2020-04-23,2020-04-23,1
2020-04-23,2020-04-24,2
2020-04-24,2020-04-24,1
2020-04-24,2020-04-24,1
2020-04-24,2020-04-24,1
2020-04-24,2020-04-24,1
2020-04-24,2020-04-24,1
2020-04-24,2020-04-24,1
2020-04-24,2020-04-24,1
2020-04-24,2020-04-25,2
2020-04-25,2020-04-25,1
2020-04-25,2020-04-25,1
2020-04-25,2020-04-25,1
2020-04-25,2020-04-25,1
2020-04-25,2020-04-25,1
2020-04-25,2020-04-25,1
2020-04-25,2020-04-25,1
2020-04-25,2020-04-26,2
2020-04-26,2020-04-26,1
2020-04-26,2020-04-26,1
2020-04-26,2020-04-26,1
2020-04-26,2020-04-26,1
2020-04-26,2020-04-26,1
2020-04-26,2020-04-26,1
2020-04-26,2020-04-28,3
2020-04-28,2020-04-28,1
2020-04-28,2020-04-28,1
2020-04-28,2020-04-28,1
2020-04-28,2020-05-04,7
2020-05-04,2020-05-04,1
2020-05-04,2020-05-04,1
2020-05-04,2020-05-04,1
2020-05-04,2020-05-05,2
2020-05-05,2020-05-05,1
2020-05-05,2020-05-05,1
2020-05-05,2020-05-05,1
2020-05-05,2020-05-05,1
2020-05-05,2020-05-05,1
2020-05-05,2020-05-05,1
2020-05-05,2020-05-06,2
2020-05-06,2020-05-06,1
2020-05-06,2020-05-06,1
2020-05-06,2020-05-06,1
2020-05-06,2020-05-06,1
2020-05-06,2020-05-06,1
2020-05-06,2020-05-06,1
2020-05-06,2020-05-06,1
2020-05-06,2020-05-07,2
2020-05-07,2020-05-07,1
2020-05-07,2020-05-07,1
2020-05-07,2020-05-07,1
2020-05-07,2020-05-07,1
2020-05-07,2020-05-07,1
2020-05-07,2020-05-07,1
2020-05-07,2020-05-07,1
2020-05-07,2020-05-07,1
2020-05-07,2020-05-08,2
2020-05-08,2020-05-08,1
2020-05-08,2020-05-08,1
2020-05-08,2020-05-08,1
2020-05-08,2020-05-08,1
2020-05-08,2020-05-08,1
2020-05-08,2020-05-08,1
2020-05-08,2020-05-16,9
2020-05-16,2020-05-16,1
2020-05-16,2020-05-16,1
2020-05-16,2020-05-21,6
2020-05-21,2020-05-21,1
2020-05-21,2020-05-21,1
2020-05-21,2020-05-21,1
2020-05-21,2020-05-21,1
2020-05-21,2020-05-24,4
2020-05-24,2020-05-24,1
2020-05-24,2020-05-24,1
2020-05-24,2020-05-25,2
2020-05-25,2020-05-25,1
2020-05-25,2020-05-25,1
2020-05-25,2020-05-25,1
2020-05-25,2020-05-25,1
2020-05-25,2020-05-25,1
2020-05-25,2020-05-26,2
2020-05-26,2020-05-26,1
2020-05-26,2020-05-26,1
2020-05-26,2020-05-26,1
2020-05-26,2020-05-26,1
2020-05-26,2020-05-26,1
2020-05-26,2020-05-26,1
2020-05-26,2020-05-26,1
2020-05-26,2020-05-27,2
2020-05-27,2020-05-27,1
2020-05-27,2020-05-27,1
2020-05-27,2020-05-27,1
2020-05-27,2020-05-27,1
2020-05-27,2020-05-27,1
2020-05-27,2020-05-27,1
2020-05-27,2020-05-28,2
2020-05-28,2020-05-28,1
2020-05-28,2020-05-28,1
2020-05-28,2020-05-28,1
2020-05-28,2020-05-28,1
2020-05-28,2020-05-28,1
2020-05-28,2020-05-31,4
2020-05-31,2020-05-31,1
2020-05-31,2020-06-01,2
2020-06-01,2020-06-01,1
2020-06-01,2020-06-01,1
2020-06-01,2020-06-01,1
2020-06-01,2020-06-02,2
2020-06-02,2020-06-02,1
2020-06-02,2020-06-02,1
2020-06-02,2020-06-02,1
2020-06-02,2020-06-02,1
2020-06-02,2020-06-03,2
2020-06-03,2020-06-03,1
2020-06-03,2020-06-03,1
2020-06-03,2020-06-03,1
2020-06-03,2020-06-03,1
2020-06-03,2020-06-03,1
2020-06-03,2020-06-03,1
2020-06-03,2020-06-04,2
2020-06-04,2020-06-04,1
2020-06-04,2020-06-04,1
2020-06-04,2020-06-04,1
2020-06-04,2020-06-08,5
2020-06-08,2020-06-08,1
2020-06-08,2020-06-08,1
2020-06-08,2020-06-09,2
2020-06-09,2020-06-09,1
2020-06-09,2020-06-09,1
2020-06-09,2020-06-09,1
2020-06-09,2020-06-09,1
2020-06-09,2020-06-09,1
2020-06-09,2020-06-09,1
2020-06-09,2020-06-09,1
2020-06-09,2020-06-09,1
2020-06-09,2020-06-10,2
2020-06-10,2020-06-10,1
2020-06-10,2020-06-10,1
2020-06-10,2020-06-10,1
2020-06-10,2020-06-10,1
2020-06-10,2020-06-10,1
2020-06-10,2020-06-10,1
2020-06-10,2020-06-10,1
2020-06-10,2020-06-10,1
2020-06-10,2020-06-10,1
2020-06-10,2020-06-11,2
2020-06-11,2020-06-11,1
2020-06-11,2020-06-11,1
2020-06-11,2020-06-11,1
2020-06-11,2020-06-11,1
2020-06-11,2020-06-11,1
2020-06-11,2020-06-11,1
2020-06-11,2020-06-11,1
2020-06-11,2020-06-11,1
2020-06-11,2020-06-11,1
